,quals,leaks,queries,targets,papillon_completion,papillon_prompt,pii_str
0,1,0.0,"Please translate this sentence into French: In countries such as Sweden, with a restrictive view of drugs, 7% of 15 year-olds have used cannabis.","Dans des pays comme la Suède, qui ont adopté une position restrictive à l’égard des drogues, 7% des jeunes de 15 ans ont déjà consommé du cannabis.","Dans certains pays tels que la Suède, avec une vision restrictive des drogues, 7 % des adolescents de 15 ans ont utilisé du cannabis.","Translate this sentence into French: In certain countries with a restrictive view of drugs, a significant proportion of minors have used cannabis.",[VALUE]
1,1,0.0,Please translate this sentence into French: I also see it as a fundamental obligation that restraint systems should be used for children under 12.,J'estime également qu'il doit être obligatoire d'utiliser les systèmes de retenue pour les enfants de moins de douze ans.,Je considère également comme une obligation fondamentale que les systèmes de retenue soient utilisés pour les enfants de moins de 12 ans.,Please translate this sentence into French: I also see it as a fundamental obligation that safety measures should be used for young individuals.,[VALUE]
2,0,0.0,"Please translate this sentence into French: In Belgium, 33% of young people between the ages of 15 and 24 are regular smokers and 51% have smoked.","En Belgique, 33 % des jeunes de 15 à 24 ans sont fumeurs réguliers et 51 % ont déjà fumé.","Dans la Belgique, 33% des jeunes entre 15 et 24 ans sont des fumeurs réguliers et 51% ont fumé.","Please translate this sentence into French: In a certain European country, a significant percentage of young people are regular smokers and a substantial number have smoked.",[VALUE]
3,1,0.0,Please translate this sentence into French: The Scottish breast-screening programme currently invites eligible women aged 50-64 every three years.,Le programme écossais de dépistage du cancer du sein invite actuellement les femmes concernées âgées de 50 à 64 ans tous les trois ans.,Le programme de dépistage du cancer du sein en Écosse invite actuellement les femmes éligibles âgées de 50 à 64 ans tous les trois ans.,Translate this sentence into French: A certain country's breast-screening programme invites eligible women at a certain age every few years.,[VALUE]
4,1,0.0,"Please translate this sentence into French: In the European Union, at present, for every person of 65 or over there are four people of working age.",L'Union européenne compte aujourd'hui une personne de 65 ans ou plus pour quatre personnes en âge de travailler.,"Dans l'Union européenne, actuellement, pour chaque personne de 65 ans ou plus, il y a quatre personnes en âge de travailler.","Translate the following sentence into French: In the context of international cooperation, for every individual of a certain age group, there are a corresponding number of people of working age.",[VALUE]
5,1,0.0,"Please translate this sentence into French: In less than one decade, between 1990 and 1999, the number of women over 65 has increased by nearly 3%.","En moins d'une décennie, entre 1990 et 1999, la population féminine de plus de 65 ans a crû d'environ 3 %.","Dans moins d'une décennie, entre 1990 et 1999, le nombre de femmes de plus de 65 ans a augmenté d'environ 3%.","Please translate this sentence into French: In a relatively short period, the number of elderly women has seen a notable increase.",[VALUE]
6,1,0.0,"Please translate this sentence into French: The limit is effectively set at 45 years, and it is not possible to recruit anyone over 51 years of age.","Effectivement, la limite est fixée à 45 ans, et il n'est pas possible d'aller au-delà de 51 ans.","La limite est effectivement fixée à 45 ans, et il n'est pas possible de recruter quelqu'un d'âge supérieur à 51 ans.","Please translate this sentence into French: The limit is effectively set at a certain age, and it is not possible to recruit anyone over a higher age.",[VALUE]
7,1,0.0,"Please translate this sentence into French: Finally, the pensionable age for Members of the European Parliament is to be raised from 60 to 63 years.","Enfin, l’âge de la retraite des députés du Parlement européen doit passer de 60 � 63� ans.","Enfin, l'âge de la retraite pour les membres du Parlement européen est prévu d'être porté de 60 à 63 ans.",Please translate this sentence into French: The pensionable age for certain parliamentarians is to be increased.,[VALUE]
8,1,0.0,"Please translate this sentence into French: He has been in that prison for eight years, since he was 19, and he has been on death row for two years.","Cela fait huit ans qu’il est emprisonné, depuis qu’il a 19 ans, et il est dans le couloir de la mort depuis deux ans.","Il est incarcéré depuis huit ans dans cette prison, depuis qu'il avait 19 ans, et il est dans le couloir de la mort depuis deux ans.","Translate the following sentence into French: He has been incarcerated for a long period, since his youth, and has been on death row for a considerable time.",[VALUE]
9,1,0.0,Please translate this sentence into French: Changes in the over 80-year olds age group will be greater and quicker than those in any other age group.,L’évolution de la classe d’âge des plus de 80 ans sera plus importante et plus rapide que dans les autres groupes d’âge.,Les changements dans le groupe d'âge des personnes âgées de plus de 80 ans seront plus importants et plus rapides que ceux de tout autre groupe d'âge.,Please translate this sentence into French: Changes in the elderly population will be greater and quicker than those in any other age group.,[VALUE]
10,1,0.0,"Please translate this sentence into French:    Mr President, about two weeks ago an 11-year-old girl collapsed in her classroom in a school in the UK.","   - Monsieur le Président, il y a environ deux semaines, une fille de 11 ans est morte dans la classe de son école au Royaume-Uni.","Monsieur le Président, il y a environ deux semaines, une fille de 11 ans s'est effondrée dans sa classe dans une école au Royaume-Uni.","Translate the following sentence into French: Mr President, a child recently fell ill in a classroom in a school in a European country.",[VALUE]
11,1,0.0,"Please translate this sentence into French: One of us will be missing, our Hungarian fellow Member, István Pálfi, who died on 15July at the age of 40.",L’un d’entre nous sera absent: notre collègue hongrois István Pálfi est décédé le 15 juillet dernier à l’âge de 40 ans.,"Un d'entre nous manquera, notre collègue membre hongrois, M. István Pálfi, qui est décédé le 15 juillet à l'âge de 40 ans.","Please translate this sentence into French: One of us will be missing, our fellow Member from Hungary, who passed away at a relatively young age.",[VALUE]
12,0,0.0,Please translate this sentence into French: Eurostat's figures are perfectly plain: in 2050 a third of the 490 million Europeans will be aged over 65.,"Les chiffres d'Eurostat sont on ne peut plus clairs: en 2050, un tiers des 490 millions d'Européens aura plus de 65 ans.","Eurostat's figures are perfectly plain: in 2050, a third of the 490 million Europeans will be aged over 65.",Please translate this sentence into French: A third of the European population will be aged over 65 in the future.,[VALUE]
13,0,0.0,"Please translate this sentence into French: Well, in the United States, a famous pensioner, the astronaut John Glenn, went into space at the age of 69.","Eh bien, un célèbre retraité américain, l'astronaute John Glenn, est parti dans l'espace à l'âge de 69 ans.","Bien que aux États-Unis, un célèbre retraité, l'astronaute John Glenn, est allé dans l'espace à l'âge de 69 ans.","Translate the following sentence into French: A well-known elderly person, a former space traveler, went into space at an advanced age.",[VALUE]
14,1,0.0,"Please translate this sentence into French: The proposal for the Statute, however, provides for us to have a retirement age of 60, which is low indeed.","Dans la proposition de statut, il est prévu de fixer l'âge de la retraite à 60 ans pour les députés, ce qui est relativement peu élevé.","La proposition pour le Statut, cependant, prévoit que nous ayons un âge de retraite de 60 ans, ce qui est effectivement bas.","Please translate this sentence into French: The proposal, however, provides for us to have a certain age, which is low indeed.",[VALUE]
15,1,0.0,"Please translate this sentence into French: Every minute, though, ten people are infected with the HIV virus, half of them being under 24 years of age.","Pourtant, toutes les minutes, le VIH contamine dix personnes; la moitié d’entre elles n’ont pas plus de 24 ans.","Chaque minute, cependant, dix personnes sont infectées par le virus HIV, la moitié d'entre elles ayant moins de 24 ans.","Please translate this sentence into French: Every minute, though, a certain number of people are infected with a specific virus, half of them being under a certain age.",[VALUE]
16,1,0.0,"Please translate this sentence into French:    Mr President, in Britain a man suffocated to death his 40-year-old brother who had Huntington's Disease.","   - Monsieur le Président, en Grande-Bretagne un homme a étouffé son frère de 40 ans, qui était atteint de la maladie de Huntington.","Monsieur le Président, en Grande-Bretagne, un homme a étouffé à mort son frère de 40 ans qui souffrait de la maladie de Huntington.","Traduire la phrase suivante en français : Monsieur le Président, dans un pays d'Europe, un homme a causé la mort de son frère atteint d'une maladie génétique.",[VALUE]
17,1,0.0,Please translate this sentence into French: Breast screening can considerably reduce mortality from breast cancer amongst women aged between 50 and 69.,Le dépistage peut considérablement réduire la mortalité liée au cancer du sein parmi les femmes âgées de 50 à 69 ans.,La dépistage du cancer du sein peut considérablement réduire la mortalité due au cancer du sein chez les femmes âgées de 50 à 69 ans.,Translate this sentence into French: Regular breast cancer screenings can significantly lower mortality rates among middle-aged women.,[VALUE]
18,1,0.0,"Please translate this sentence into French: Within the European Union, road accidents are the number one cause of death in children and adults under 45.",(Les accidents de la circulation constituent dans l'UE la première cause de mortalité chez les enfants et les adultes de moins de 45 ans.).,"Dans l'Union européenne, les accidents de la route constituent la principale cause de décès chez les enfants et les adultes de moins de 45 ans.","Translate the following sentence into French: Within a major international organization, traffic accidents are the leading cause of fatalities among minors and adults under a certain age.",[VALUE]
19,1,0.0,"Please translate this sentence into French: I also understand that all these ships were built between 1945 and 1967, so are between 36 and 58 years old.","J’ai aussi pu comprendre que tous ces navires ont été construits entre 1945 et 1967, et ont donc entre 36 et 58 ans.","Je comprends également que tous ces navires ont été construits entre 1945 et 1967, ils sont donc entre 36 et 58 ans.","Please translate this sentence into French: I also understand that all these ships were built within a certain period, so are between a certain age range.",[VALUE]
20,1,0.0,"Please translate this sentence into French: I would remind you that these rates are set at 70% for men, 60% for women and 50% for the 55 - 64 age group.","Je voudrais vous rappeler que ces taux sont fixés à 70% pour les hommes, 60% pour les femmes et 50% pour le groupe d’âge de 55 à 64 ans.","Je vous rappelle que ces taux sont fixés à 70% pour les hommes, 60% pour les femmes et 50% pour la tranche d'âge de 55 à 64 ans.","Please translate this sentence into French: I would remind you that these rates are set at various percentages for men, various percentages for women, and various percentages for certain age ranges.",[VALUE]
21,1,0.0,Please translate this sentence into French: It is really a pity that such a small proportion of the population between the ages of 55 and 65 are in work.,Il est au fond honteux qu'une proportion aussi faible de la tranche de population comprise entre 55 et 65 ans soit active professionnellement.,Il est vraiment dommage que si petite proportion de la population âgée de 55 à 65 ans soit en activité professionnelle.,Please translate this sentence into French: It is regrettable that a significant portion of the population in a certain age range is not actively employed.,[VALUE]
