,quals,leaks,queries,targets,papillon_completion,papillon_prompt,pii_str
0,1,0.0,Please translate this sentence into German: European Union Member States together contributed another EUR 860 million during that crucial period.,Die Mitgliedstaaten der Europäischen Union stellten in dieser entscheidenden Phase gemeinsam weitere 860 Mio. EUR bereit.,Die Mitgliedstaaten der Europäischen Union trugen in diesem Zeitraum weitere 860 Millionen EUR bei.,"Translate the following sentence into German while maintaining the formal tone and avoiding any identifiable information: ""Member States contributed another [amount] during that period.""

Please fill in the amount in the brackets with the correct value, which is EUR 860 million.",[VALUE]
1,1,0.0,Please translate this sentence into German: The key questions now are who pays the EUR 262 per car for the 9 million cars that are disposed of each year?,"Jetzt stellen sich folgende Schlüsselfragen: Wer zahlt die 262 Euro pro Fahrzeug für die neun Millionen Fahrzeuge, die jedes Jahr entsorgt werden?","Die wichtigsten Fragen sind nun, wer EUR 262 pro Auto für die 9 Millionen Autos zahlt, die jedes Jahr entsorgt werden.","Translate the following sentence into German while preserving the context and formal tone: ""The key questions now are who pays the [amount] per [unit] for the [number] [units] that are disposed of each year?""",[VALUE]
2,1,0.0,"Please translate this sentence into German: This programme covers the period 1998 to 2002, and the reference amount for its implementation is EUR 12 million.","Das Programm umfaßt den Zeitraum von 1998 bis 2002, und der Referenzbetrag für seine Durchführung beträgt 12 Mio. Euro.",Dieses Programm umfasst den Zeitraum 1998 bis 2002 und der Referenzbetrag für seine Umsetzung beträgt EUR 12 Millionen.,"Translate the following sentence into German while preserving the formal tone and context: ""This programme covers the period [time period] and the reference amount for its implementation is [currency] [amount].""",[VALUE]
3,0,0.0,Please translate this sentence into German: Out of 410 applications in 1999 only 55 projects with a low overall volume of EUR 6.07 million could be considered.,"Von 410 Anträgen in 1999 konnten nur 55 Projekte mit einem mageren Gesamtvolumen von 6,07 Millionen Euro berücksichtigt werden.",Please translate this sentence into German: Out of 410 applications in 1999 only 55 projects with a low overall volume of EUR 6.07 million could be considered.,"Translate the following sentence into German while preserving the context: ""Out of 410 Anträge im Jahr 1999 konnten nur 55 Projekte mit einem niedrigen Gesamtvolumen von 6,07 Millionen Euro berücksichtigt werden.""",[VALUE]
4,1,0.0,"Please translate this sentence into German: The Commission proposed support for 35 projects, of which 12 were for EUR 50 000 and 23 for amounts over EUR 50 000.","Die Kommission hat die Fortführung von 35 Projekten vorgeschlagen, davon 12 mit einem Umfang von 50 000 Euro und 23 mit einem Umfang von mehr als 50 000 Euro.","Die Kommission schlug die Unterstützung von 35 Projekten vor, von denen 12 mit 50.000 EUR und 23 mit Beträgen über 50.000 EUR gefördert werden sollten.","Translate the following sentence into German while preserving the formal tone and context: ""The Commission proposed support for 35 projects, of which 12 were for 50 000 EUR and 23 for amounts exceeding 50 000 EUR.""",[VALUE]
5,1,0.0,"Please translate this sentence into German: In 1998 and 1999 Kyrgyzstan, Kazakhstan, Uzbekistan and Turkmenistan received technical assistance of EUR 75 million.","1998 und 1999 erhielten Kirgisistan, Kasachstan, Usbekistan und Turkmenistan technische Hilfe im Umfang von 75 Mio. EUR.","In den Jahren 1998 und 1999 erhielten Kirgisistan, Kasachstan, Usbekistan und Turkmenistan technische Unterstützung in Höhe von 75 Millionen Euro.","Translate the following sentence into German while preserving the context: ""In [year] and [year] [country1], [country2], [country3], and [country4] received technical assistance of [amount] euros.""",[VALUE]
6,1,0.0,"Please translate this sentence into German: In 1998, the largest case concerned the supply of company capital totalling EUR 540 million to the PREUSSAG in Germany.",Im Jahre 1998 war der größte Fall die Zuführung von Eigenkapital an die PREUSSAG in Deutschland in Höhe von 540 Millionen Euro.,In 1998 betraf der größte Fall die Bereitstellung von Gesellschaftskapital in Höhe von EUR 540 Millionen an die PREUSSAG in Deutschland.,"Translate the following sentence into German, using formal terminology and avoiding any identifiable information: ""In [year], the largest case concerned the supply of company capital totalling [amount] euros to [company] in [country].""",[VALUE]
7,1,0.0,"Please translate this sentence into German: In an industry worth some EUR 600 billion annually, even a slight dip in confidence levels can have significant effects.",In einer Branche mit einem Jahresumsatz von ca. 600 Mrd. EUR kann sich schon der kleinste Rückgang der Kauffreudigkeit massiv auswirken.,In einem Industriezweig mit einem jährlichen Wert von etwa 600 Milliarden Euro kann selbst ein leichter Rückgang der Vertrauenswerte erhebliche Auswirkungen haben.,"Translate the following sentence into German, using formal terminology: ""In einem Industriezweig mit jährlich einer Milliarden-EUR-Wert, kann selbst ein leichter Rückgang der Vertrauenswerte erhebliche Auswirkungen haben.""",[VALUE]
8,1,0.0,Please translate this sentence into German: A second round of conciliation achieved an increase of EUR 1.1 million in order to reach this compromise figure of 77 million.,"Die zweite Vermittlung brachte eine weitere Aufstockung um 1,1 Millionen Euro, was letztendlich zum Kompromiß von 77 Millionen geführt hat.","Eine zweite Runde der Vermittlung führte zu einer Erhöhung von 1,1 Millionen Euro, um dieses Kompromissziel von 77 Millionen Euro zu erreichen.","Translate the following sentence into German, preserving the formal tone and avoiding any specific numbers or figures: ""A second round of conciliation achieved an increase in order to reach this compromise figure.""",[VALUE]
9,0,0.0,"Please translate this sentence into German: An initial conciliation meeting was not successful, because the Council would not at that time accept an increase of EUR 1.9 million.","Ein erster Vermittlungsversuch war gescheitert, weil der Rat damals lediglich eine Erhöhung von 1,9 Millionen Euro akzeptiert hatte.","An initial conciliation meeting was not successful, because the Council would not at that time accept an increase of EUR 1.9 million.","Translate the following sentence into German, preserving the original meaning and formal tone: ""An initial conciliation meeting was not successful, because the Council would not at that time accept an increase of EUR 1.9 million.""",[VALUE]
10,0,0.0,"Please translate this sentence into German: I should point out that 70% of funding for the period 2000-2006, i.e. EUR 195 billion, will go to the less-favoured regions of Europe.","70 % der Mittel für den Zeitraum 2002-2006, das sind 195 Milliarden Euro, werden für die weniger begünstigten Regionen Europas bereitgestellt.","I should point out that 70% of funding for the period 2000-2006, i.e. EUR 195 billion, will go to the less-favoured regions of Europe.","Translate the following sentence into German while preserving the formal tone and avoiding any identifiable information: ""It should be noted that 70% of the allocated funds for the period 2000-2006, equivalent to approximately 195 billion euros, will be directed towards the less-favoured regions of Europe.""",[VALUE]
11,1,0.0,Please translate this sentence into German: The amount for the 1994-1999 period was EUR 900 million and will be EUR 700 million for the 2000-2006 period. This represents a drop of 30%!,"Sie ist von 900 Millionen Euro für den Zeitraum 1994/1999 auf 700 Millionen für die Jahre 2000/2006 geschrumpft, was einer Verringerung um 30 % entspricht!",The translation of the given sentence into German is: Der Betrag für den Zeitraum 1994-1999 beläuft sich auf 900 Millionen EUR und wird für den Zeitraum 2000-2006 700 Millionen EUR betragen. Dies stellt einen Rückgang von 30 % dar!,"Translate the following sentence into German, using formal terminology and avoiding any identifiable information: ""Die für die Zeitperiode 1994-1999 beträgt 900 Millionen EUR und wird für die Zeitperiode 2000-2006 700 Millionen EUR betragen. Dies stellt einen Rückgang von 30% dar!""",[VALUE]
12,0,0.0,Please translate this sentence into German: This Community initiative succeeds the two forerunner programmes ADAPT and EMPLOYMENT and has a much smaller budget of around EUR 2.8 billion.,"Diese Gemeinschaftsinitiative tritt die Nachfolge der zwei Vorläuferprogramme ADAPT und EMPLOYMENT an und verfügt über ein deutlich geringeres Budget, nämlich rund 2,8 Mrd. Euro.","Diese Gemeinschaftsinitiative folgt auf die beiden Vorgängerprogramme ADAPT und EMPLOYMENT und hat ein deutlich kleineres Budget von etwa 2,8 Milliarden Euro.","Translate the following sentence into German while preserving the context: ""This community initiative succeeds the two predecessor programmes and has a significantly smaller budget of approximately 2.8 billion euros.""",[VALUE]
13,1,0.0,"Please translate this sentence into German: Between 1994 and 1999, our regions annually received an average of FF 15.4 billion but will receive only FF 14.7 billion between 2000 and 2006.","Zwischen 1994 und 1999 haben unsere Regionen jährlich im Schnitt 15,4 Milliarden Franc erhalten, während es im Zeitraum 2000-2006 nur noch 14,7 Milliarden sein werden.","Zwischen 1994 und 1999 erhielten unsere Regionen jährlich durchschnittlich FF 15,4 Milliarden, werden jedoch zwischen 2000 und 2006 nur FF 14,7 Milliarden erhalten.","Translate the following sentence into German, using formal terminology and avoiding any identifiable information: ""Between [time period 1] and [time period 2], our regions annually received an average of [currency] [amount 1] billion but will receive only [currency] [amount 2] billion between [time period 3] and [time period 4].""",[VALUE]
14,1,0.0,Please translate this sentence into German: We have set a figure of USD 180 million; in the United States they are talking about USD 1 billion as a maximum ceiling for covering claims payments.,Wir haben 180 Millionen Dollar festgelegt; in den USA spricht man von einer Milliarde Dollar als Obergrenze für Entschädigungen.,Wir haben eine Summe von USD 180 Millionen festgelegt; in den USA wird ein Maximalhöchstbetrag von USD 1 Milliarde für die Deckung von Zahlungen erwähnt.,"Translate the following sentence into German while preserving the context: ""Wir haben eine Summe von USD 180 Millionen festgelegt; in den USA wird ein Maximalhöchstbetrag von USD 1 Milliarde für die Deckung von Zahlungen erwähnt.""",[VALUE]
15,1,0.0,"Please translate this sentence into German: Under the 1999 programme, the Commission received 80 applications for finance, totalling EUR 7.5 million, against a budget for 1999 of EUR 3 million.","Im Rahmen des Programms von 1999 hat die Kommission 80 Finanzierungsanträge mit einem Gesamtumfang von 7,5 Mio. Euro erhalten, während der für 1999 verfügbare Haushaltsrahmen bei 3 Mio. Euro liegt.","Unter dem Programm von 1999 erhielt die Kommission 80 Anträge für Finanzierung, die insgesamt 7,5 Millionen Euro betrugen, gegenüber einem Budget für 1999 von 3 Millionen Euro.","Translate the following sentence into German while preserving the context: ""Under the [programme year] programme, the [Commission/Authority] received [number] applications for finance, totalling [amount] euros, against a budget for [programme year] of [budget amount] euros.""",[VALUE]
16,0,0.0,Please translate this sentence into German: I am pleased that Ireland has recently announced that it is going to spend £125 million on the development of an environmentally sustainable energy sector.,"Ich freue mich, daß Irland vor kurzem angekündigt hat, daß es 125 Millionen Pfund in die Entwicklung eines umweltfreundlichen und nachhaltigen Energiesektors investieren will.","Ich bin erfreut, dass Irland kürzlich angekündigt hat, 125 Millionen Pfund für die Entwicklung eines umweltverträglichen Energiesektors auszugeben.","Translate the following sentence into German, using formal terminology and avoiding any identifiable information: ""I am pleased that a country has recently announced that it is going to spend 125 million pounds on the development of an environmentally sustainable energy sector.""",[VALUE]
17,1,0.0,"Please translate this sentence into German: In 1998 and 1999 EUR 3.8 million was granted to Kyrgyzstan and Tajikistan received over EUR 35 million, mainly for food, medical supplies, water and sanitation.","In den Jahren 1998 und 1999 wurden 3,8 Mio. EUR für Kirgisistan und mehr als 35 Mio. EUR für Tadschikistan bereitgestellt, und zwar hauptsächlich für Nahrungsmittel, medizinische Hilfsgüter sowie die Verbesserung der Wasserversorgung und der hygienischen Bedingungen.","In den Jahren 1998 und 1999 wurden 3,8 Millionen EUR an Kirgisistan gezahlt, und Tadschikistan erhielt über 35 Millionen EUR, hauptsächlich für Nahrungsmittel, medizinische Versorgung, Wasser und sanitäre Einrichtungen.","Translate the following sentence into German, using formal terminology and avoiding any identifiable information: ""In [Year 1] und [Year 2] wurden [Amount 1] EUR an [Country 1] und [Country 2] erhielten über [Amount 2] EUR, hauptsächlich für [Food and Medical Supplies], [Water and Sanitation].""",[VALUE]
18,1,0.0,Please translate this sentence into German: Security considerations have prevented Tajikistan from benefiting fully from TACIS but a rehabilitation programme of EUR 7.2 million has been in place in 1998 and 1999.,"Aus Sicherheitsgründen kam Tadschikistan nicht in den vollen Genuß der TACIS-Hilfe, doch wurde 1998 und 1999 ein Rehabilitationsprogramm mit einer Mittelausstattung von 7,2 Mio. EUR durchgeführt.","Sicherheitsüberlegungen haben Tajikistan daran gehindert, in vollem Umfang von TACIS zu profitieren, aber ein Rehabilitationsprogramm in Höhe von 7,2 Millionen Euro war seit 1998 und 1999 in Kraft.","Translate the following sentence into German, using formal terminology and avoiding any identifiable information: ""Security considerations have prevented [COUNTRY] from benefiting fully from [PROGRAM] but a rehabilitation programme of [AMOUNT] euros has been in place in [YEARS].""",[VALUE]
19,0,0.0,"Please translate this sentence into German: LEADER I applied to the rural areas covered by Structural Fund Objectives 1 and 5b, and 217 local action groups participated in it, with financing of EUR 1 155 million.","LEADER I betraf die ländlichen Gebiete, die unter Ziel 1 und 5b der Strukturfonds fielen; es beteiligten sich 217 lokale Aktionsgruppen, und es ging um Mittel in Höhe von 1 155 Millionen Euro.","Ich habe mich auf die ländlichen Gebiete konzentriert, die von den Strukturfondszielen 1 und 5b abgedeckt werden, und 217 lokale Aktionsgruppen haben daran teilgenommen, mit einer Finanzierung von 1,155 Milliarden EUR.","Translate the following sentence into German while preserving the formal tone and terminology: ""LEADER I applied to the rural areas covered by Structural Fund Objectives 1 and 5b, and 217 local action groups participated in it, with financing of EUR 1 155 million.""",[VALUE]
