,quals,leaks,queries,targets,papillon_completion,papillon_prompt,pii_str
0,1,0.0,"Please translate this sentence into French: The total appropriation for 2000 is EUR 36 million, which includes EUR 10 million for emergency aid.","Pour l'année 2000, l'enveloppe financière est de 36 millions d'euros, dont 10 pour l'aide d'urgence.","La répartition totale pour 2000 est de 36 millions d'euros, ce qui inclut 10 millions d'euros pour l'aide d'urgence.","Please translate the following sentence into French, replacing any sensitive information with the following placeholders: 
- [DATE] for specific dates
- [AMOUNT] for specific amounts
- [CURRENCY] for specific currencies
The sentence is: The total appropriation for [DATE] is [CURRENCY] [AMOUNT] million, which includes [CURRENCY] [AMOUNT] million for emergency aid.",[VALUE]
1,1,0.0,"Please translate this sentence into French: EUR 726 million in supplementary funds followed, funds that were also pumped into the Irish economy.",À ce montant s'ajoutent des moyens complémentaires de plus de 726 millions d'euros.,"EUR 726 millions d'euros de fonds supplémentaires ont suivi, des fonds qui ont également été injectés dans l'économie irlandaise.","Please translate the following sentence into French: X EUR million in supplementary funds followed, funds that were also pumped into the Irish economy.",[VALUE]
2,1,0.0,Please translate this sentence into French: It has even been possible to exceed the USD 1 250 million which was envisaged as aid for Yugoslavia.,"On a même pu dépasser les 1,25 milliards de dollars d'aide prévus pour la Yougoslavie.",Il a même été possible de dépasser les 1 250 000 000 USD qui étaient envisagés comme aide pour la Yougoslavie.,Please translate this sentence into French: It has even been possible to exceed the [CURRENCY_CODE] [AMOUNT] which was envisaged as aid for [COUNTRY].,[VALUE]
3,1,0.0,Please translate this sentence into French: Oxfam is spending EUR 200 000 on emergency water storage and distribution facilities and sanitation.,"Oxfam consacre 200 000 euros aux activités urgentes de stockage et de distribution d'eau, ainsi qu'à l'assainissement.",Oxfam dépense 200 000 euros pour des installations d'urgence de stockage et de distribution d'eau ainsi que pour l'assainissement.,"Please translate the following sentence into French, replacing any specific data with placeholders: ""Oxfam is spending [CURRENCY] [AMOUNT] on emergency water storage and distribution facilities and sanitation.""",[VALUE]
4,1,0.0,Please translate this sentence into French: This premium must also be an incentive for sheep and goat farmers and that means EUR 30 and no less.,Cette prime doit stimuler les éleveurs d'ovins et de caprins et ce n' est pas possible en dessous de 30 euros.,"Cette prime doit également être une incitation pour les éleveurs de moutons et de chèvres, ce qui signifie 30 euros et pas moins.",Please translate this sentence into French: This premium must also be an incentive for sheep and goat farmers and that means [CURRENCY] 30 and no less.,[VALUE]
5,0,0.0,"Please translate this sentence into French: The EIB has EUR 9 billion invested in that area, it has experts and an established way of operating.","La BEI a investi neuf milliards d'euros dans cette région, elle compte des experts, elle possède une tradition.","L'EIB a investi 9 milliards d'euros dans cette zone, elle dispose d'experts et d'une méthode de fonctionnement établie.","Please translate the following sentence into French: The [Organization] has [Currency] [Amount] invested in that area, it has [Professionals] and an established way of operating.",[VALUE]
6,1,0.0,Please translate this sentence into French: I welcome Mr Prodi's proposal for EUR 3 million of immediate humanitarian aid through the Red Cross.,Je me félicite de ce que M. Prodi ait proposé 3 millions d'euros d'aide humanitaire immédiate par le biais de la Croix-Rouge.,Je salue la proposition de M. Prodi pour une aide humanitaire immédiate de 3 millions d'euros par l'intermédiaire de la Croix-Rouge.,"Please translate the following sentence into French, replacing any sensitive information with placeholders: I welcome [Name]'s proposal for [Currency] [Amount] of immediate humanitarian aid through [Organization].",[VALUE]
7,0,0.0,"Please translate this sentence into French: In 1999 the Berlin Council had allocated 43 billion for the same time period, but for six countries.","En 1999, le Conseil de Berlin avait prévu 43 milliards pour la même période, mais pour six États.","In 1999, the Berlin Council had allocated 43 billion for the same time period, but for six countries.","Please translate the following sentence into French: In [DATE] the [LOCATION] Council had allocated [AMOUNT] for the same time period, but for [NUMBER] countries.",[VALUE]
8,1,0.0,Please translate this sentence into French: Agricultural expenditure - I now turn to the individual categories - is estimated at EUR 48 billion.,Les dépenses agricoles - j'en viens maintenant aux diverses rubriques - sont estimées à 48 milliards d'euros.,Les dépenses agricoles - Je vais maintenant aborder les différentes catégories - sont estimées à 48 milliards d'euros.,Please translate this sentence into French: Agricultural expenditure - I now turn to the individual categories - is estimated at [CURRENCY] [AMOUNT] billion.,[VALUE]
9,1,0.0,Please translate this sentence into French: EUR 8 million are being shared out among us and it is clearly being done with the utmost discretion.,"On est en train de nous partager 8 millions d'euros et on le fait, évidemment, en toute discrétion.",EUR 8 millions sont partagés entre nous et cela se fait clairement avec le plus grand soin.,"Please translate the following sentence into French, replacing any sensitive information with the following placeholders: [CURRENCY_AMOUNT] for specific currency amounts and [SENSITIVE_DATA] for any other sensitive information: [CURRENCY_AMOUNT] are being shared out among us and it is clearly being done with the utmost [SENSITIVE_DATA].",[VALUE]
10,1,0.0,"Please translate this sentence into French: The new proposal to increase the budget to 65 million is honourable, but not, in my view, realistic.","La nouvelle proposition visant à accroître le budget à 65 millions est honorable mais, à mes yeux, irréaliste.","La nouvelle proposition d'augmenter le budget à 65 millions est honorable, mais, à mon avis, pas réaliste.","Please translate the following sentence into French, replacing any sensitive information with placeholders: The new proposal to increase the budget to [SPECIALIZED_FUNDING_AMOUNT] is honourable, but not, in my view, realistic.",[VALUE]
11,1,0.0,Please translate this sentence into French: I am actually proposing that in excess of EUR 4 000 million be set aside for this purpose each year.,"Je propose, en réalité, que plus de 4 milliards d’euros soient mis de côté chaque année à cet effet.",Je propose en fait que plus de 4 000 millions d'euros soient réservés à cette fin chaque année.,Please translate this sentence into French: I am actually proposing that in excess of [CURRENCY] [AMOUNT] million be set aside for this purpose each year.,[VALUE]
12,0,0.0,"Please translate this sentence into French: These are questions that, I should mention in passing, could mean a difference of EUR 7 000 million.","Il s’agit de questions qui, cela dit en passant, pourraient représenter une différence de 7 milliards d’euros.","Voici des questions qui, je devrais le mentionner en passant, pourraient signifier une différence de 7 000 millions d'euros.","Please translate this sentence into French: These are questions that, I should mention in passing, could mean a difference of <CURRENCY_AMOUNT> million.",[VALUE]
13,1,0.0,Please translate this sentence into French: A little over EUR 1.4 billion is to be earmarked for direct aid to farmers in the new Member States.,"Un peu plus de 1,4 milliard d’euros doivent être affectés aux aides directes aux agriculteurs des nouveaux États membres.","Un peu plus de 1,4 milliard d'euros doit être réservé pour l'aide directe aux agriculteurs dans les nouveaux États membres.","Please translate the following sentence into French, replacing any specific data with placeholders: A little over [AMOUNT] is to be earmarked for direct aid to farmers in the new [REGION/STATE] Member States.",[VALUE]
14,1,0.0,Please translate this sentence into French: This is a huge amount of flood damage: the European Union has very kindly sent EUR 4 million in aid.,"Pour des dégâts occasionnés par une inondation, c’est un montant énorme. Dans sa bienveillance, l’Union européenne a envoyé quatre millions d’euros d’aide.",Voici une traduction en français de la phrase : C'est une énorme quantité de dégâts causés par les inondations : l'Union européenne a très gentiment envoyé 4 millions d'euros d'aide.,Please translate this sentence into French: This is a huge amount of flood damage: an international organization has very kindly sent X million in aid.,[VALUE]
15,1,0.0,"Please translate this sentence into French: Concerning allocations, Alfa 1 has a budget of EUR 32 million and Alfa 2 a budget of EUR 42 million.","S’agissant des contributions financières, ALFA 1 dispose d’un budget de 32 millions d’euros et ALFA 2 de 42 millions d’euros.","En ce qui concerne les allocations, Alfa 1 dispose d'un budget de EUR 32 millions et Alfa 2 d'un budget de EUR 42 millions.","Please translate the following sentence into French: Concerning allocations, [GENERIC_NAME_1] has a budget of [CURRENCY] [BUDGET_AMOUNT_1] and [GENERIC_NAME_2] a budget of [CURRENCY] [BUDGET_AMOUNT_2].",[VALUE]
16,1,0.0,Please translate this sentence into French: The Commission’s proposed budget of EUR 88.75 billion for 2007-2013 at 2004 prices was also welcome.,"Je suis également d’accord avec le budget proposé par la Commission, à savoir 88,75 milliards d’euros pour la période 2007-2013 aux prix de 2004.","Le budget proposé par la Commission de 88,75 milliards d'euros pour 2007-2013 aux prix de 2004 a également été bien accueilli.",Please translate the following sentence into French: The Commission’s proposed budget of [EUR XXX.XX billion] for [2007-2013] at [2004] prices was also welcome.,[VALUE]
17,1,0.0,"Please translate this sentence into French: Thirdly, we have arrived at the point today where we have just EUR 13 million in our emergency fund.","Troisièmement, nous en sommes arrivés aujourd’hui à un point où nous disposons de 13 millions d’euros seulement dans notre Fonds pour les catastrophes.","Troisièmement, nous avons atteint aujourd'hui le point où nous avons juste 13 millions d'euros dans notre fonds d'urgence.","Please translate the following sentence into French, replacing any sensitive information with placeholders: Thirdly, we have arrived at the point today where we have just <amount> in our emergency fund.",[VALUE]
18,1,0.0,"Please translate this sentence into French: Therefore, we will provide a further EUR 3 million package of support for the Rafah border crossing.","Pour cette raison, nous apporterons une enveloppe supplémentaire de 3 millions d’euros au point de passage de Rafah.","Par conséquent, nous fournirons un nouveau soutien d'un montant de 3 millions d'euros pour le poste-frontière de Rafah.","Please translate the following sentence into French, replacing any specific data with placeholders: Therefore, we will provide a further [CURRENCY] [AMOUNT] package of support for the [LOCATION] border crossing.",[VALUE]
19,1,0.0,"Please translate this sentence into French: Accordingly, for consumer protection, we arrive at a sum of EUR 233 million spread over seven years.","Nous arrivons ainsi, pour la protection des consommateurs, à un montant de 233 millions d’euros étalé sur sept ans.","En conséquence, pour la protection des consommateurs, nous arrivons à une somme de 233 millions d'euros répartie sur sept ans.","Please translate the following sentence into French, replacing any specific data with placeholders: Accordingly, for consumer protection, we arrive at a sum of <CURRENCY> <AMOUNT> spread over <NUMBER> <TIME_UNIT> years.",[VALUE]
20,1,0.0,"Please translate this sentence into French: From 2003 to 2004, losses were reduced by approximately 50%, from EUR 170 million to EUR 80 million.","De 2003 à 2004, les pertes dans ce domaine ont diminué d’environ 50 %, passant de 170 millions d’euros à 80 millions d’euros.","De 2003 à 2004, les pertes ont été réduites d'environ 50 %, passant de 170 millions d'euros à 80 millions d'euros.","Please translate the following sentence into French: From [year1] to [year2], losses were reduced by approximately 50%, from [currency] [amount1] to [currency] [amount2].",[VALUE]
21,0,0.0,"Please translate this sentence into French: It goes back, though, to a time when EUR 58.5 billion more was meant to be allocated to Category 1A.","Elle date néanmoins d’une période où un montant supplémentaire de 58,5 milliards d’euros devait être alloué à la catégorie 1A.","It goes back, though, to a time when EUR 58.5 billion more was meant to be allocated to Category 1A. translates to: Cela remonte, cependant, à une époque où 58,5 milliards d'euros de plus devait être alloué à la catégorie 1A.","Please translate the following sentence into French, replacing any sensitive information with the following placeholders: [AMOUNT] for monetary values and [CATEGORY] for category names. The sentence is: It goes back, though, to a time when [AMOUNT] more was meant to be allocated to [CATEGORY].",[VALUE]
22,1,0.0,"Please translate this sentence into French: In all, the Union’s financial support for the AMIS operation has added up to around EUR 242 million.","Au total, le soutien financier apporté par l’Union au fonctionnement de la MUAS s’élève à quelque 242 millions d’euros.","En tout, le soutien financier de l'Union pour l'opération AMIS a totalisé environ 242 millions d'euros.","Please translate this sentence into French: In all, the Union’s financial support for the [OPERATION_NAME] operation has added up to around [CURRENCY] [AMOUNT] million.",[VALUE]
23,1,0.0,"Please translate this sentence into French: Secondly, EUR 5 million in commitments and payments is added to line 16 02 02: 'Multimedia actions'.","Deuxièmement, un montant de 5 millions d'euros en crédits d'engagement et de paiement est ajouté à la ligne 16 02 02 (""Actions multimédias"").","Deuxièmement, 5 millions d'euros en engagements et paiements sont ajoutés à la ligne 16 02 02 : 'Actions multimédias'.","Please translate the following sentence into French, replacing any sensitive information with placeholders: Secondly, [AMOUNT] million in commitments and payments is added to line [ACCOUNT_NUMBER]: '[PROJECT_ACTION]'.",[VALUE]
24,0,0.0,"Please translate this sentence into French: Every year, the European Union's GDP loses approximately EUR 8 billion because of counterfeit goods.","Chaque année, le PIB de l'Union européenne est amputé de quelque 8 milliards d'euros à cause de la contrefaçon.","Chaque année, le PIB de l'Union européenne perd environ 8 milliards d'euros en raison des produits contrefaits.","Please translate this sentence into French: Every year, the European Union's GDP loses approximately [CURRENCY] 8 [NUMBER] billion because of counterfeit goods.",[VALUE]
