conversation_hash,predicted_category,user_query,target_response,pii_units,redacted_query
0,age,"Please translate this sentence into German: One, do you have any information on the origin and degree of toxicity of the 42 500 tonnes of scrap metal not recovered?","Erstens, haben Sie Informationen über die Herkunft und die Höhe der Toxizität der noch nicht geborgenen 42 500 Tonnen Schrott?",4,"Please translate this sentence into German: One, do you have any information on the origin and degree of toxicity of the [REDACTED] 500 tonnes of scrap metal not recovered?"
1,age,"Please translate this sentence into German: Concerning Amendments Nos 11 and 15, we accept that the Commission should present a report to the Council and to Parliament. However, the Commission feels that the best time to do so would be after three years had elapsed, as was the case for the first assessment of the Energy Star Programme","Andererseits akzeptieren wir im Prinzip die Änderungsanträge 5, 11 und 15. Im Fall der Änderungsanträge 11 und 15 sind wir einverstanden, dass die Kommission dem Rat und dem Parlament Bericht erstattet, obwohl der für die Kommission angemessene Zeitpunkt bei drei Jahren liegt, so wie wir bei der ersten Bewertung für das Energy-Star-Programm verfahren sind.",three,"Please translate this sentence into German: Concerning Amendments Nos 11 and 15, we accept that the Commission should present a report to the Council and to Parliament. However, the Commission feels that the best time to do so would be after [REDACTED] years had elapsed, as was the case for the first assessment of the Energy Star Programme"
2,age,"Please translate this sentence into German: My community of values, the community of values I fought for in Spain under 40 years of dictatorship promoted and sustained by Washington, is something else.","Meine Wertegemeinschaft, die Gemeinschaft der Werte, für die ich in Spanien 40 Jahre unter einer von Washington geförderten und aufrecht erhaltenen Diktatur gekämpft habe, sieht anders aus.",40,"Please translate this sentence into German: My community of values, the community of values I fought for in Spain under [REDACTED] years of dictatorship promoted and sustained by Washington, is something else."
3,age,"Please translate this sentence into German: Many young people from rural areas some 20, 30 or 40 years ago, at the time Mr McCartin was speaking about, would naturally have gone on to become young farmers.","Vor 20, 30 oder 40 Jahren, also zu der Zeit, über die Herr McCartin sprach, war es für viele junge Menschen auf dem Lande ganz selbstverständlich, einen landwirtschaftlichen Beruf zu ergreifen.",20||40||30,"Please translate this sentence into German: Many young people from rural areas some [REDACTED], [REDACTED] or [REDACTED] years ago, at the time Mr McCartin was speaking about, would naturally have gone on to become young farmers."
4,age,"Please translate this sentence into German: (CS) Madam President, the day is finally approaching when a unified agricultural policy will apply in the old and new Member States, ending 10 years of discrimination against farmers from the new Member States.","(CS) Frau Präsidentin! Endlich rückt der Tag näher, an dem eine einheitliche Agrarpolitik in den alten und neuen Mitgliedstaaten gilt, die zehn Jahre der Diskriminierung von Landwirten aus den neuen Mitgliedstaaten beendet.",10 years,"Please translate this sentence into German: (CS) Madam President, the day is finally approaching when a unified agricultural policy will apply in the old and new Member States, ending [REDACTED] of discrimination against farmers from the new Member States."
5,age,"Please translate this sentence into German: On the other hand, as the European Parliament, we also need to be aware that we are adopting a directive that will be in force not just for five years, but perhaps for the next 20 or 25 years.","Auf der anderen Seite müssen wir als Europäisches Parlament uns bewusst sein, dass wir eine Richtlinie beschließen, die nicht nur für fünf Jahre, sondern vielleicht für die nächsten zwanzig, fünfundzwanzig Jahre gelten soll.",20||25,"Please translate this sentence into German: On the other hand, as the European Parliament, we also need to be aware that we are adopting a directive that will be in force not just for five years, but perhaps for the next [REDACTED] or [REDACTED] years."
6,age,"Please translate this sentence into German: From head to foot I had 14 tubes dangling out from me, and spent weeks in intensive care; however, I am now here, I am a Member of the European Parliament, I am raising my three children and I am able to live a full life.","Von Kopf bis Fuß ragten insgesamt 14 Röhrchen aus mir heraus, und ich verbrachte viele Wochen auf der Intensivstation. Wie auch immer, ich bin jetzt hier, ich bin ein Mitglied des Europäischen Parlaments, ich ziehe meine drei Kinder groß und kann mein Leben ohne Einschränkungen leben.",14,"Please translate this sentence into German: From head to foot I had [REDACTED] tubes dangling out from me, and spent weeks in intensive care; however, I am now here, I am a Member of the European Parliament, I am raising my three children and I am able to live a full life."
7,age,"Please translate this sentence into German: Contrary to the statements made by Mr Santer, scientific information existed from 1990 onwards suggesting first that BSE could cross the species barrier and secondly a connection between Creutzfeldt-Jakob disease in humans and BSE in ruminants.","Im Gegensatz zu den Behauptungen von Herrn Santer lagen bereits 1990 wissenschaftliche Erkenntnisse vor, nach denen zum einen das Überschreiten der Grenzen zwischen den Arten und zum anderen Ähnlichkeiten zwischen der Creutzfeldt-Jakob-Krankheit und BSE bei Wiederkäuern vermutet wurden.",1990,"Please translate this sentence into German: Contrary to the statements made by Mr Santer, scientific information existed from [REDACTED] onwards suggesting first that BSE could cross the species barrier and secondly a connection between Creutzfeldt-Jakob disease in humans and BSE in ruminants."
8,age,"Please translate this sentence into German: Firstly, in view of the secretive nature of the Israeli nuclear weapons programme as revealed 10 years ago by Mordechai Vanunu, I have reservations on Israeli participation in the nuclear sectors of research.","Erstens, angesichts der Geheimhaltung des israelischen Atomwaffenprogramms, das vor 10 Jahren von Mordechai Vanunu aufgedeckt wurde, habe ich Vorbehalte gegen die Beteiligung der Israelis an dem Bereich der nuklearen Forschung.",10,"Please translate this sentence into German: Firstly, in view of the secretive nature of the Israeli nuclear weapons programme as revealed [REDACTED] years ago by Mordechai Vanunu, I have reservations on Israeli participation in the nuclear sectors of research."
9,age,"Please translate this sentence into German:    Mr President, President-in-Office of the Council, I will take advantage of this opportunity as I have drafted my own question on the same matter, Question No 17, which there may be no time to answer during this Question Time.","   – Herr Präsident, Herr Ratspräsident, ich nutze die Gunst der Stunde, da ich in derselben Angelegenheit eine eigene Anfrage, Anfrage Nr. 17, eingereicht habe, für deren Beantwortung während dieser Fragestunde möglicherweise keine Zeit mehr sein wird.",17,"Please translate this sentence into German: Mr President, President-in-Office of the Council, I will take advantage of this opportunity as I have drafted my own question on the same matter, Question No [REDACTED], which there may be no time to answer during this Question Time."
10,age,"Please translate this sentence into German: I am delighted to inform Mr Alves and everyone that in 8 or 10 days time, a large-scale conference is going to be held on the outermost regions, sponsored by the Spanish Presidency.","Ich bin hocherfreut, Herrn Alves und jedem Anwesenden mitteilen zu können, dass in 8 oder 10 Tagen eine große Konferenz zu den Regionen in äußerster Randlage abgehalten werden wird, gefördert durch den spanischen Ratsvorsitz.",10||8,"Please translate this sentence into German: I am delighted to inform Mr Alves and everyone that in [REDACTED] or [REDACTED] days time, a large-scale conference is going to be held on the outermost regions, sponsored by the Spanish Presidency."
11,age,Please translate this sentence into German: So far the Nobel Prize and Sakharov Prize winner Aung San Suu Kyi has spent 12 years and 239 days in confinement.,Bisher hat die Nobelpreisträgerin und Gewinnerin des Sacharow-Preises zwölf Jahre und 239 Tage unter Hausarrest verbracht.,12,Please translate this sentence into German: So far the Nobel Prize and Sakharov Prize winner Aung San Suu Kyi has spent [REDACTED] years and 239 days in confinement.
12,age,Please translate this sentence into German: We in the Confederal Group of the European United Left/Nordic Green Left have therefore tabled an amendment in which we ask for the 95 years requirement to be removed.,"Wir in der Konförderalen Fraktion der Vereinigten Europäischen Linken/Nordische Grüne Linke haben deshalb einen Änderungsantrag eingebracht, in der wir verlangen, dass die 95 Jahre entfernt werden.",95,Please translate this sentence into German: We in the Confederal Group of the European United Left/Nordic Green Left have therefore tabled an amendment in which we ask for the [REDACTED] years requirement to be removed.
13,age,"Please translate this sentence into German: A rest of 12 hours for animals in the vehicle blatantly violates the welfare and dignity of the animals being transported, but the restriction of nine hours’ transportation also blatantly violates the principle of the internal market.","Eine zwölfstündige Ruhezeit für die Tiere im Fahrzeug verletzt ganz eindeutig den Schutz und die Würde der transportierten Tiere, aber die Begrenzung der Beförderung auf neun Stunden stellt auch eine eklatante Verletzung des Binnenmarktprinzips dar.",12||nine,"Please translate this sentence into German: A rest of [REDACTED] hours for animals in the vehicle blatantly violates the welfare and dignity of the animals being transported, but the restriction of [REDACTED] hours’ transportation also blatantly violates the principle of the internal market."
