conversation_hash,predicted_category,user_query,target_response,pii_units,redacted_query
0,"Money","Translate this sentence to German: Last week, the US Secretary of State revealed that the Administration is to request a further 75 million dollars to promote democracy in Iran.","Letzte Woche teilte die US-amerikanische Außenministerin der Öffentlichkeit mit, dass die Regierung mit zusätzlichen 75 Millionen Dollar die Demokratie in Iran fördern will.",75,"Last week, the US Secretary of State revealed that the Administration is to request a further [REDACTED] million dollars to promote democracy in Iran."
1,"Money","Translate this sentence to German: Nevertheless, although around 3 000 inspections are carried out each year, nothing guarantees that each State of the Union carries them out and how they are carried out.","Obgleich jährlich rund 3000 Inspektionen durchgeführt werden, gibt es keine Garantie dafür, dass jeder Staat der Union sie durchführt und wie er sie durchführt.",3 000,"Nevertheless, although around [REDACTED] inspections are carried out each year, nothing guarantees that each State of the Union carries them out and how they are carried out."
2,"Money","Translate this sentence to German: One, do you have any information on the origin and degree of toxicity of the 42 500 tonnes of scrap metal not recovered?","Erstens, haben Sie Informationen über die Herkunft und die Höhe der Toxizität der noch nicht geborgenen 42 500 Tonnen Schrott?",42 50,"One, do you have any information on the origin and degree of toxicity of the [REDACTED] tonnes of scrap metal not recovered?"
3,"Money",Translate this sentence to German: They made USD 5 billion available to their airlines straight away and offered another USD 10 billion in indirect aid to help them over other crises should they arise.,"Unverzüglich wurden für ihre Luftfahrtgesellschaften 5 Mrd. Dollar bereitgestellt, und weitere 10 Mrd. wurden als indirekte Hilfe zur Bewältigung eventueller weiterer Krisensituationen angeboten.",5||10,They made USD [REDACTED] billion available to their airlines straight away and offered another USD [REDACTED] billion in indirect aid to help them over other crises should they arise.
4,"Money",Translate this sentence to German: Let us bear in mind two figures: we consume 800 000 tonnes of raw tobacco and produce 250 000 tonnes in the European Union.,Nur zwei Zahlen zur Erinnerung: in der Europäischen Union werden 800 000 Tonnen Rohtabak verbraucht und 250 000 Tonnen hergestellt.,800 000||250 000,Let us bear in mind two figures: we consume [REDACTED] tonnes of raw tobacco and produce [REDACTED] tonnes in the European Union.
5,"Money","Translate this sentence to German: It has usefully raised the threshold for art work affected to EUR 3 000 but, although the large art galleries and auction houses favour this, as the volume of work is reduced, it does nothing for unknown contemporary artists.","Der Schwellenwert für betroffene Kunstwerke wurde sinnvollerweise auf 3 000 Euro angehoben. Obwohl die großen Kunstgalerien und Auktionshäuser diese Regelung begrüßen, weil sie mit einem geringeren Arbeitsaufwand verbunden ist, haben unbekannte zeitgenössische Künstler nichts davon.",3 000,"It has usefully raised the threshold for art work affected to EUR [REDACTED] but, although the large art galleries and auction houses favour this, as the volume of work is reduced, it does nothing for unknown contemporary artists."
6,"Money","Translate this sentence to German: Between 2004 and 2006 alone, the price of fuel went up by around 100%, and in some parts of the sector fuel accounts for some 50% of total operating costs.",Allein im Zeitraum von 2004 bis 2006 stieg der Kraftstoffpreis um rund 100 % und macht in einigen Teilen des Sektors etwa 50 % der gesamten Betriebskosten aus.,100||50,"Between 2004 and 2006 alone, the price of fuel went up by around [REDACTED]%, and in some parts of the sector fuel accounts for some [REDACTED]% of total operating costs."
7,"Money","Translate this sentence to German:    – The next item is the oral question to the Commission on forced prostitution during the 2006 football World Cup by Anna Záborská, on behalf of the Committee on Women's Rights and Gender Equality (O-0054/2006 – B6-0221/2006).",   – Als nächster Punkt folgt die mündliche Anfrage an die Kommission über die Zwangsprostitution im Rahmen der Fußballweltmeisterschaft von Anna Záborská im Namen des Ausschusses für die Rechte der Frau und die Gleichstellung der Geschlechter (O-0054/2006 – B6-0221/2006).,0221/2006||0054/2006,"   – The next item is the oral question to the Commission on forced prostitution during the 2006 football World Cup by Anna Záborská, on behalf of the Committee on Women's Rights and Gender Equality (O-[REDACTED] – B6-[REDACTED])."
8,"Money","Translate this sentence to German: In this referendum carried out using mobile ballot boxes, in spite of an artificially instigated anti-Hungarian propaganda campaign, 99% of the 210 000 voters asked voted in the affirmative.","In diesem Referendum, das mit mobilen Wahlurnen durchgeführt wurde, stimmten trotz einer künstlich initiierten antiungarischen Propagandakampagne 99 % der 210 000 Befragten für die Autonomie.",210 000,"In this referendum carried out using mobile ballot boxes, in spite of an artificially instigated anti-Hungarian propaganda campaign, 99% of the [REDACTED] voters asked voted in the affirmative."
9,"Money","Translate this sentence to German: This is something that we note every day in the Committee on Petitions, since it is the main form of non-compliance: 40% of non-compliances reported by citizens to the Committee on Petitions relate to the environment.","Dies stellen wir täglich im Petitionsausschuss fest, denn dort geht es in erster Linie um die Nichteinhaltung: Bei 40 % der Fälle, die die Bürger dem Petitionsausschuss anzeigen, handelt es sich um die Nichteinhaltung von Umweltvorschriften.",40,"This is something that we note every day in the Committee on Petitions, since it is the main form of non-compliance: [REDACTED]% of non-compliances reported by citizens to the Committee on Petitions relate to the environment."
10,"Money","Translate this sentence to German: The financing of the European Institute of Technology still needs to be resolved, because the Commission has proposed a bridging solution of a maximum amount of EUR 308 million.","Über die Finanzierung des Europäischen Technologieinstituts muss noch entschieden werden, weil die Kommission eine Zwischenlösung in Höhe von maximal 308 Millionen Euro vorgeschlagen hat.",,"The financing of the European Institute of Technology still needs to be resolved, because the Commission has proposed a bridging solution of a maximum amount of EUR [REDACTED]."
11,"Money","Translate this sentence to German: Of that, biomass and the incineration of waste account for 4.2%, hydroelectric power for 1.5%, wind power for 0.3%, geothermal energy for 0.3%, and sunlight for hardly anything.","Biomasse und die Verbrennung von Abfällen tragen dazu 4,2 % bei, Wasserkraft 1,5 %, Windenergie 0,3 %, geothermische Energie 0,3 % und Sonnenenergie so gut wie überhaupt nichts.",0.3||4.2||1.5,"Of that, biomass and the incineration of waste account for [REDACTED]%, hydroelectric power for [REDACTED]%, wind power for [REDACTED]%, geothermal energy for [REDACTED]%, and sunlight for hardly anything."
12,"Money","Translate this sentence to German: Mandatory biometric risk cover will cost each citizen, at a conservative estimate, around 1-3% of annual returns per year.",Eine obligatorische Abdeckung biometrischer Risiken würde je Bürger vorsichtigen Schätzungen zufolge eine Einbuße der jährlichen Rendite in Höhe von 1-3 % bedeuten.,1-3,"Mandatory biometric risk cover will cost each citizen, at a conservative estimate, around [REDACTED]% of annual returns per year."
13,"Money","Translate this sentence to German: For 10 years, the European Union has financed EUR 145 million of aid measures to Cuba: the results have been far from brilliant.",Seit 10 Jahren gibt die Europäische Union 145 Mio. EUR an Hilfsmaßnahmen für Kuba aus: Die bisher erzielten Ergebnisse waren nicht gerade berauschend.,145 million,"For 10 years, the European Union has financed EUR [REDACTED] of aid measures to Cuba: the results have been far from brilliant."
14,"Money","Translate this sentence to German: Next week - on 1 October - the Commission will propose the amount that we intend to pledge at the donors' conference, that being EUR 200 million.","Die Kommission wird in der nächsten Woche - am 1. Oktober - einen Vorschlag für die Summe machen, die wir auf der Geberkonferenz zusagen wollen, und zwar in Höhe von 200 Millionen Euro.",,"Next week - on 1 October - the Commission will propose the amount that we intend to pledge at the donors' conference, that being EUR [REDACTED]."
15,"Money",Translate this sentence to German: The British BSE inquiry which was commissioned by the UK Government at a cost of £20 million is due to report in November.,"Der Bericht über die von der britischen Regierung in Auftrag gegebene BSE-Untersuchung, die 20 Mio. Pfund Sterling kostet, soll im November vorliegen.",20,The British BSE inquiry which was commissioned by the UK Government at a cost of £[REDACTED] million is due to report in November.
16,"Money","Translate this sentence to German: By virtue of this role, it is planned to increase annual aid to the sector in Europe from EUR 26 million for 2008-2010 to EUR 32 million for 2011-2013.","Aufgrund dieser Rolle ist vorgesehen, die jährliche Förderung für den Sektor in Europa von 26 Mio. EUR für den Zeitraum 2008-2010 auf 32 Mio. EUR für den Zeitraum 2011-2013 zu erhöhen.",32||26,"By virtue of this role, it is planned to increase annual aid to the sector in Europe from EUR [REDACTED] million for 2008-2010 to EUR [REDACTED] million for 2011-2013."
