conversation_hash,predicted_category,user_query,target_response,pii_units,redacted_query
0,age,"Please translate this sentence into German: Today, minors are being sentenced to death in Iran and one, Ateqeh Rajabi, aged 16, has been hanged.","Derzeit werden Bergarbeiter im Iran zum Tode verurteilt, und einer von ihnen, der 16-jährige Ateqeh Rajabi, wurde bereits gehängt.",[VALUE],[REDACTED]
1,age,"Please translate this sentence into German: If the current population trends continue, there will be 50 % more people over 60 in 30 years' time.","Wenn die derzeitigen Tendenzen der Bevölkerungsentwicklung anhalten, wird die Altersgruppe der über 60-jährigen Personen während der kommenden 30 Jahre um 50 % anwachsen.",[VALUE],[REDACTED]
2,age,Please translate this sentence into German: The percentage for women is the same: 51 % of women who are seeking work are in the 50-64 age group.,Der prozentuale Anteil ist bei Frauen derselbe: 51 % der weiblichen Arbeitsuchenden gehören der Altersgruppe zwischen 50 und 64 an.,[VALUE],[REDACTED]
3,age,Please translate this sentence into German: VIRTUAL VICTIM was founded as a solo project by the 30-year old German musician Chris in April 2004.,Virtual Victim ist das clubtaugliche Dark-Electro-Projekt des 30-jährigen Chris aus Gütersloh.,[VALUE],[REDACTED]
4,age,Please translate this sentence into German: All children under 13 years are charged 50 % of the room stay per night when using existing bedding.,Alle Kinder unter 13 Jahren zahlen 50 % des Zimmerpreises pro Übernachtung in einem der vorhandenen Betten.,[VALUE],[REDACTED]
5,age,Please translate this sentence into German: One child from 10 to 16 years is charged 70 % of the room stay per night and person in an extra bed.,Ein Kind zwischen 10 und 16 Jahren zahlt 70 % des Zimmerpreises pro Übernachtung und Person für ein Zustellbett.,[VALUE],[REDACTED]
6,age,Please translate this sentence into German: Room Notes: FAMILY OFFER This room can accommodate up to 2 adults and 2 children up to 12 years old.,Zimmerbeschreibung: FAMILY OFFER This room can accommodate up to 2 adults and 2 children up to 12 years old.,[VALUE],[REDACTED]
7,age,Please translate this sentence into German: One child from 10 to 14 years is charged 80 % of the room stay per night and person in an extra bed.,Ein Kind zwischen 10 und 14 Jahren zahlt 80 % des Zimmerpreises pro Übernachtung und Person für ein Zustellbett.,[VALUE],[REDACTED]
8,age,Please translate this sentence into German: All children under 18 years of age must be accompanied by an adult at all times when using the pool.,Kinder unter 18 Jahren müssen stets in Begleitung und unter Aufsicht eines Erwachsenen sein.,[VALUE],[REDACTED]
9,age,"Please translate this sentence into German: As a family of five, I have twins, 4 and a 2 year old, this hotel is so comfortable, clean, and big!",Das Hotel ist im Herzen von Haarlem.,[VALUE],[REDACTED]
10,age,Please translate this sentence into German: The Friendly Fellows kids’ club provides fun-filled activities for children aged between 3-15 years.,Im Kinderclub Friendly Fellows amüsieren sich Kinder zwischen 3 und 15 Jahren bei zahlreichen Aktivitäten.,[VALUE],[REDACTED]
11,age,"Please translate this sentence into German: He was 85 years old. He died at his Redmond, Washington, home with his third wife Wende by his side.","Er hinterlässt seine Frau, eine fünfjährige Tochter, sechs erwachsene Kinder (darunter Montgomery und Christopher Doohan ) und zahlreiche Enkel und Urenkel.",[VALUE],[REDACTED]
12,age,"Please translate this sentence into German: • Children (2-11years) are charged 75% of the adult fare plus applicable fees, taxes and surcharges.","Kinder zwischen 2 und 11 Jahren bezahlen 75% des Erwachsenentarifs, zuzüglich Steuern, Gebühren und eventueller Aufpreise.",[VALUE],[REDACTED]
13,age,Please translate this sentence into German: Children between 3 month and 5 years can also be accompanied by Austrian staff (surcharged service).,Kleinkinder zwischen 3 Monaten und 5 Jahren können gegen Aufpreis auch von Austrian Mitarbeitern auf Ihrer Reise begleitet werden. In diesem Falle entfällt die Notwendigkeit eines Mitreisenden der Familie.,[VALUE],[REDACTED]
14,age,"Please translate this sentence into German: • Children (2-11years) are charged 75% of the adult fare plus applicable fees, taxes and surcharges.",Kinder zwischen 2 und 11 Jahren bezahlen 75% des Erwachsenentarifs zuzüglich Steuern und Gebühren.,[VALUE],[REDACTED]
15,age,"Please translate this sentence into German: Family rates: children up to 2 yrs free of charge, children 3 – 14 yrs 50% reduction on total price.",Kinder ab 3 Jahren bis einschließlich 14 Jahren erhalten eine Ermäßigung von 50 % auf den Gesamtpreis.,[VALUE],[REDACTED]
16,age,"Please translate this sentence into German: You have to be at least fully 18 years-old to play any of our games, real-money or play-money alike.","Vous devez avoir au moins 18 ans pour jouer chez nous, que ce soit avec de l'argent vrai ou virtuel.",[VALUE],[REDACTED]
17,age,"Please translate this sentence into German: Everyone over the age of 18 is required to vote, although those who fail to do so are not penalized.",Zwischen 1904 und 1914 errichteten Ingenieure der US-Army den Panama-Kanal.,[VALUE],[REDACTED]
18,age,Please translate this sentence into German: Château Eza was built 400 years ago within the ancient city walls of the 9th century village of Eze.,Le Château Eza a été bâti il y a 400 ans à l'intérieur de l'ancienne cité de pierres du 9ème siècle du village d'Eze.,[VALUE],[REDACTED]
19,age,"Please translate this sentence into German: When I was 19, a friend showed me how easy it is to produce techno, and that really got me infected.","Als ich ca. 19 war, zeigte mir ein Freund, wie einfach es ist, Techno zu produzieren und damit war ich dann voll infiziert.",[VALUE],[REDACTED]
20,age,Please translate this sentence into German: Unaccompanied minors between 5 and 11 years old must be booked in as such via the Service Centre » .,Flugtickets für allein reisende Kinder zwischen dem 5. und 12. Geburtstag müssen in unserem Service-Center » gebucht werden.,[VALUE],[REDACTED]
21,age,Please translate this sentence into German: The children's discount of 10€ applies to children from 3 to 12 years old for all performance times.,Kinder ab 3 bis einschließlich 12 Jahren erhalten eine Ermäßigung von 10€ für alle Vorstellungen.,[VALUE],[REDACTED]
22,age,Please translate this sentence into German: Oldowan tools are the oldest known formed tools and date as far back as about 2.4 million years ago.,Homo erectus verspeiste aber mehr Fleisch.,[VALUE],[REDACTED]
23,age,Please translate this sentence into German: One child from 10 to 16 years is charged EUR 10.00 per night and person when using existing bedding.,"Ein Kind zwischen 10 und 16 Jahren zahlt EUR 10,00 pro Übernachtung und Person in einem der vorhandenen Betten.",[VALUE],[REDACTED]
24,age,"Please translate this sentence into German: You have to be at least fully 18 years-old to play any of our games, real-money or play-money alike.","Sinun täytyy olla vähintään 18 vuotta täyttänyt, jotta voisit pelata mitä tahansa peleistämme, tosirahalla tai leikkirahalla.",[VALUE],[REDACTED]
25,age,Please translate this sentence into German: Japanese university professor Ueyama Shunpei interviews 85 year old Sawaki Kodo at Antaiji in Kyoto.,Im Jahr seines Todes interviewte der japanische Professor Ueyama Shunpei den bereits 85jährigen Sawaki Kodo im Antaiji in Kyoto. Interview in zwei Teilen mit Photos aus Sawakis Alben.,[VALUE],[REDACTED]
26,age,Please translate this sentence into German: The 23-year-old left-back was nominated for the Scottish National team for the first time last week.,The product of Hibs' academy rejoined the Edinburgh club in January 2008.,[VALUE],[REDACTED]
27,age,"Please translate this sentence into German: Centrally located 100-year old hotel, since 2009 managed by the 3rd generation of the Kurzen family.","Zentral gelegenes, 100-jähriges Hotel, seit 2009 geführt von Familie Kurzen in der 3. Generation.",[VALUE],[REDACTED]
28,age,"Please translate this sentence into German: Pinot Gris KLUR, de vieilles vignes (from old vines) of more than 45 years, on limestone clay soils.","Pinot Gris KLUR, von alten Reben ""de vieilles vignes"". Weinstöcke die älter als 45 Jahre auch für diesen Wein, diesmal auf Kalk und Lehm Boden.",[VALUE],[REDACTED]
29,age,Please translate this sentence into German: 90% of our students have a higher degree (university level) and 75% are between 25 and 40 years old.,Die Vorbildung unserer Kursteilnehmenden ist zu 90% auf universitärem Niveau. 75% der Kursteilnehmenden sind zwischen 25 und 40 Jahre alt.,[VALUE],[REDACTED]
30,age,"Please translate this sentence into German: Susanne, 20 years old, along with 10 others works as an apprentice in dressmaking in Kumashi, Ghana.","Susanne, 20 Jahre alt, arbeitet mit 10 weiteren Arbeitnehmerinnen als Auszubildende in einer Nähwerkstätte in Kumashi, Ghana.",[VALUE],[REDACTED]
