conversation_hash,predicted_category,user_query,target_response,pii_units,redacted_query
0,age,"Please translate this sentence into French: In countries such as Sweden, with a restrictive view of drugs, 7% of 15 year-olds have used cannabis.","Dans des pays comme la Suède, qui ont adopté une position restrictive à l’égard des drogues, 7% des jeunes de 15 ans ont déjà consommé du cannabis.",[VALUE],[REDACTED]
1,age,Please translate this sentence into French: I also see it as a fundamental obligation that restraint systems should be used for children under 12.,J'estime également qu'il doit être obligatoire d'utiliser les systèmes de retenue pour les enfants de moins de douze ans.,[VALUE],[REDACTED]
2,age,"Please translate this sentence into French: In Belgium, 33% of young people between the ages of 15 and 24 are regular smokers and 51% have smoked.","En Belgique, 33 % des jeunes de 15 à 24 ans sont fumeurs réguliers et 51 % ont déjà fumé.",[VALUE],[REDACTED]
3,age,Please translate this sentence into French: The Scottish breast-screening programme currently invites eligible women aged 50-64 every three years.,Le programme écossais de dépistage du cancer du sein invite actuellement les femmes concernées âgées de 50 à 64 ans tous les trois ans.,[VALUE],[REDACTED]
4,age,"Please translate this sentence into French: In the European Union, at present, for every person of 65 or over there are four people of working age.",L'Union européenne compte aujourd'hui une personne de 65 ans ou plus pour quatre personnes en âge de travailler.,[VALUE],[REDACTED]
5,age,"Please translate this sentence into French: In less than one decade, between 1990 and 1999, the number of women over 65 has increased by nearly 3%.","En moins d'une décennie, entre 1990 et 1999, la population féminine de plus de 65 ans a crû d'environ 3 %.",[VALUE],[REDACTED]
6,age,"Please translate this sentence into French: The limit is effectively set at 45 years, and it is not possible to recruit anyone over 51 years of age.","Effectivement, la limite est fixée à 45 ans, et il n'est pas possible d'aller au-delà de 51 ans.",[VALUE],[REDACTED]
7,age,"Please translate this sentence into French: Finally, the pensionable age for Members of the European Parliament is to be raised from 60 to 63 years.","Enfin, l’âge de la retraite des députés du Parlement européen doit passer de 60 � 63� ans.",[VALUE],[REDACTED]
8,age,"Please translate this sentence into French: He has been in that prison for eight years, since he was 19, and he has been on death row for two years.","Cela fait huit ans qu’il est emprisonné, depuis qu’il a 19 ans, et il est dans le couloir de la mort depuis deux ans.",[VALUE],[REDACTED]
9,age,Please translate this sentence into French: Changes in the over 80-year olds age group will be greater and quicker than those in any other age group.,L’évolution de la classe d’âge des plus de 80 ans sera plus importante et plus rapide que dans les autres groupes d’âge.,[VALUE],[REDACTED]
10,age,"Please translate this sentence into French:    Mr President, about two weeks ago an 11-year-old girl collapsed in her classroom in a school in the UK.","   - Monsieur le Président, il y a environ deux semaines, une fille de 11 ans est morte dans la classe de son école au Royaume-Uni.",[VALUE],[REDACTED]
11,age,"Please translate this sentence into French: One of us will be missing, our Hungarian fellow Member, István Pálfi, who died on 15July at the age of 40.",L’un d’entre nous sera absent: notre collègue hongrois István Pálfi est décédé le 15 juillet dernier à l’âge de 40 ans.,[VALUE],[REDACTED]
12,age,Please translate this sentence into French: Eurostat's figures are perfectly plain: in 2050 a third of the 490 million Europeans will be aged over 65.,"Les chiffres d'Eurostat sont on ne peut plus clairs: en 2050, un tiers des 490 millions d'Européens aura plus de 65 ans.",[VALUE],[REDACTED]
13,age,"Please translate this sentence into French: Well, in the United States, a famous pensioner, the astronaut John Glenn, went into space at the age of 69.","Eh bien, un célèbre retraité américain, l'astronaute John Glenn, est parti dans l'espace à l'âge de 69 ans.",[VALUE],[REDACTED]
14,age,"Please translate this sentence into French: The proposal for the Statute, however, provides for us to have a retirement age of 60, which is low indeed.","Dans la proposition de statut, il est prévu de fixer l'âge de la retraite à 60 ans pour les députés, ce qui est relativement peu élevé.",[VALUE],[REDACTED]
15,age,"Please translate this sentence into French: Every minute, though, ten people are infected with the HIV virus, half of them being under 24 years of age.","Pourtant, toutes les minutes, le VIH contamine dix personnes; la moitié d’entre elles n’ont pas plus de 24 ans.",[VALUE],[REDACTED]
16,age,"Please translate this sentence into French:    Mr President, in Britain a man suffocated to death his 40-year-old brother who had Huntington's Disease.","   - Monsieur le Président, en Grande-Bretagne un homme a étouffé son frère de 40 ans, qui était atteint de la maladie de Huntington.",[VALUE],[REDACTED]
17,age,Please translate this sentence into French: Breast screening can considerably reduce mortality from breast cancer amongst women aged between 50 and 69.,Le dépistage peut considérablement réduire la mortalité liée au cancer du sein parmi les femmes âgées de 50 à 69 ans.,[VALUE],[REDACTED]
18,age,"Please translate this sentence into French: Within the European Union, road accidents are the number one cause of death in children and adults under 45.",(Les accidents de la circulation constituent dans l'UE la première cause de mortalité chez les enfants et les adultes de moins de 45 ans.).,[VALUE],[REDACTED]
19,age,"Please translate this sentence into French: I also understand that all these ships were built between 1945 and 1967, so are between 36 and 58 years old.","J’ai aussi pu comprendre que tous ces navires ont été construits entre 1945 et 1967, et ont donc entre 36 et 58 ans.",[VALUE],[REDACTED]
20,age,"Please translate this sentence into French: I would remind you that these rates are set at 70% for men, 60% for women and 50% for the 55 - 64 age group.","Je voudrais vous rappeler que ces taux sont fixés à 70% pour les hommes, 60% pour les femmes et 50% pour le groupe d’âge de 55 à 64 ans.",[VALUE],[REDACTED]
21,age,Please translate this sentence into French: It is really a pity that such a small proportion of the population between the ages of 55 and 65 are in work.,Il est au fond honteux qu'une proportion aussi faible de la tranche de population comprise entre 55 et 65 ans soit active professionnellement.,[VALUE],[REDACTED]
22,age,Please translate this sentence into French: We are talking about girls who are sold at the age of 17 and at the age of 20 are worthless and thrown aside.,"Ce sont des jeunes filles qui sont vendues à l'âge de 17 ans et qui, à l'âge de 20 ans, ne valent plus rien et dont on se débarrasse.",[VALUE],[REDACTED]
23,age,"Please translate this sentence into French: Iran has vast potential: it has a young, well-educated population, two-thirds of whom are under the age of 30.","Le potentiel de l’Iran est vaste: le pays compte une population jeune et instruite, dont les deux tiers sont âgés de moins de 30 ans.",[VALUE],[REDACTED]
24,age,Please translate this sentence into French: A 44-year-old American with a history of psychiatric illnesses was flying with his wife from Miami to Orlando.,"Un Américain de 44 ans, présentant des antécédents psychiatriques, voyageait en compagnie de sa femme de Miami vers Orlando.",[VALUE],[REDACTED]
25,age,"Please translate this sentence into French: But child labour among children as young as 10 years old, as my colleagues have said, is increasing every year.","Mais comme l'ont dit mes collègues, le travail d'enfants âgés de moins de 10 ans augmente d'année en année.",[VALUE],[REDACTED]
26,age,"Please translate this sentence into French: In the next 15 years, the number of the very elderly, that is, over the age of 80, will increase by almost 50%.","Au cours des 15 prochaines années, le nombre de personnes très âgées, c’est-à-dire celles ayant plus de 80 ans, grimpera de presque 50%.",[VALUE],[REDACTED]
27,age,Please translate this sentence into French: I know many motorcyclists are concerned about the minimum age of 24 years for access to more powerful machines.,Je sais que de nombreux automobilistes s'inquiètent de l'âge minimum de 24 ans pour pouvoir conduire des machines plus puissantes.,[VALUE],[REDACTED]
28,age,"Please translate this sentence into French: This joiner is between 40 and 50 years of age, speaks four languages and is known as something of a philosopher.","Ce menuisier a entre 40 et 50 ans, parle quatre langues et les gens le considèrent comme un petit philosophe.",[VALUE],[REDACTED]
29,age,"Please translate this sentence into French: Despite advances in diagnosis and treatment, breast cancer is the leading cause of death in women aged 35 to 55.","Malgré les progrès en matière de diagnostic et de traitement, le cancer du sein reste la première cause de mortalité chez les femmes âgées de 35 à 55 ans.",[VALUE],[REDACTED]
30,age,"Please translate this sentence into French: However, what would you think if I told you that, as well as that, half of your population is over 50 years old?","Cependant, que penseriez-vous si je vous disais, comme cela, que 50% des Grecs ont plus de 50 ans?",[VALUE],[REDACTED]
31,age,"Please translate this sentence into French: The number of children forced to serve in the army stands at 77 000, and many of them join when they are only 11.",Le nombre d’enfants contraints de servir dans l’armée est de 77 000 et beaucoup d’entre eux sont enrôlés alors qu’ils n’ont que 11 ans.,[VALUE],[REDACTED]
32,age,"Please translate this sentence into French: (ES) Madam President, yesterday, Robert Wilson, of 24 years of age, was sentenced to death by a jury in New York.","(ES) Madame la Présidente, Robert Wilson, âgé de 24 ans, a été condamné hier à la peine capitale par un jury siégeant à New York.",[VALUE],[REDACTED]
33,age,Please translate this sentence into French: author. - (SK) Allow me to begin with the testimony of a young 21-year-old woman in her third year at university.,"auteur - (SK) Permettez-moi de commencer par ce témoignage d'une jeune femme âgée de 21 ans, étudiante à l'université, en troisième année.",[VALUE],[REDACTED]
34,age,Please translate this sentence into French: It is extremely difficult for people over 50 to stay in or find work in numerous industries in the private sector.,"Aujourd'hui, dans le secteur privé et dans un grand nombre de branches, il est extrêmement difficile pour des personnes de plus de 50 ans de conserver ou de trouver un travail.",[VALUE],[REDACTED]
35,age,"Please translate this sentence into French: In Spain, a 44-year-old disabled woman was confined by her parents to a cellar six feet deep from the age of four.","En Espagne, une femme handicapée de 44 ans était enfermée par ses parents dans une cave à près de deux mètres de profondeur depuis l’âge de quatre ans.",[VALUE],[REDACTED]
36,age,"Please translate this sentence into French: After all, one would not try to dress a fully-grown 25-year-old in the same suit he wore when he was 15 years old.","Après tout, on ne tenterait pas d’habiller un adulte de 25 ans avec les vêtements qu’il portait lorsqu’il avait 15 ans.",[VALUE],[REDACTED]
37,age,"Please translate this sentence into French: The new leader of the Council of Islamic Courts is Sheikh Hassan Dahir Aweys, a 60-year old radical Muslim cleric.","Le nouveau dirigeant du Conseil suprême des tribunaux islamiques s’appelle Cheikh Hassan Dahir Aweys, un islamiste radical de soixante ans.",[VALUE],[REDACTED]
38,age,Please translate this sentence into French: The last case which we are discussing now is the case of two boys aged 16 years old sentenced to death by hanging.,Le dernier cas dont nous débattons aujourd'hui concerne deux garçons âgés de 16 ans et condamnés à mort par pendaison.,[VALUE],[REDACTED]
39,age,Please translate this sentence into French: It is conditional on the official being at least 50 years of age and having been in service for at least ten years.,La condition est que le ou la fonctionnaire doit avoir au moins 50 ans et être en service depuis au moins dix ans.,[VALUE],[REDACTED]
40,age,"Please translate this sentence into French: Citizens over the age of 24, too, face restrictions if they marry someone who is not a citizen of a Nordic country.","Par ailleurs, les citoyens âgés de plus de 24 ans sont également soumis à des restrictions lorsque leur conjoint n'est pas un citoyen nordique.",[VALUE],[REDACTED]
41,age,Please translate this sentence into French: These should not be carried out on young women under the age of 18. Operations for medical reasons would be exempt.,"Cela ne devrait pas pouvoir se faire chez des jeunes femmes de moins de 18 ans, sauf pour des raisons médicales.",[VALUE],[REDACTED]
42,age,"Please translate this sentence into French: After the ten new countries join, the number of young people between the ages of 15 and 25 will rise to 75 million.","Après l’adhésion des dix nouveaux pays, le nombre de jeunes entre 15 et 25 ans atteindra 75 millions.",[VALUE],[REDACTED]
43,age,"Please translate this sentence into French: Professor Mesfin Woldemariam, aged 77, the respected founder of the Ethiopian Human Rights Council, is one of them.","Le professeur Mesfin Woldemariam, âgé de 77 ans, fondateur respecté du conseil éthiopien des droits de l'homme, figure parmi eux.",[VALUE],[REDACTED]
44,age,Please translate this sentence into French: Not until the age of 24 can they be given the right to ride the heaviest motorcycles without any intermediary steps.,"C'est seulement à partir de l'âge de 24 ans que l'on peut, sans avoir fait d'étapes intermédiaires, accéder au droit de conduire les motos les plus lourdes.",[VALUE],[REDACTED]
45,age,"Please translate this sentence into French: My 86-year-old mother came to visit the European Parliament; she watched the whole sitting; she said, 'Good, Fatuzzo!","Ma mère, âgée de 86 ans, est venue en visite au Parlement européen. Elle a assisté à toute la séance et a dit : ""Bravo, Fatuzzo !",[VALUE],[REDACTED]
46,age,"Please translate this sentence into French: I agree that, at the moment, we urgently need to integrate workers over 55 years old into the European labour market.","Je conviens qu'en l'état actuel des choses, nous devons absolument intégrer les travailleurs de plus de 55 ans dans le marché européen du travail.",[VALUE],[REDACTED]
47,age,Please translate this sentence into French: There are an estimated 300 000 child soldiers under the age of 18 involved in some 40 conflicts throughout the world.,On estime à 300 000 le nombre d’enfants-soldats de moins de 18 ans impliqués dans 40 conflits à travers le monde.,[VALUE],[REDACTED]
48,age,"Please translate this sentence into French: Because young people are most receptive to new ideas, we have focused on young people between 13 and 30 years of age.","Étant donné que c'est aux nouvelles idées que les jeunes sont les plus réceptifs, nous avons ciblé les jeunes de 13 à 30 ans.",[VALUE],[REDACTED]
49,age,"Please translate this sentence into French: In Save the Children Finland's survey, 30% of 7 to 15 year olds had experienced bullying through their mobile phones.",L'étude Save the Children Finland a révélé que 30% des jeunes de 7 à 15 ans avaient été harcelés via leur téléphone mobile.,[VALUE],[REDACTED]
