conversation_hash,predicted_category,user_query,target_response,pii_units,redacted_query
0,money,Please translate this sentence into German: European Union Member States together contributed another EUR 860 million during that crucial period.,Die Mitgliedstaaten der Europäischen Union stellten in dieser entscheidenden Phase gemeinsam weitere 860 Mio. EUR bereit.,[VALUE],[REDACTED]
1,money,Please translate this sentence into German: The key questions now are who pays the EUR 262 per car for the 9 million cars that are disposed of each year?,"Jetzt stellen sich folgende Schlüsselfragen: Wer zahlt die 262 Euro pro Fahrzeug für die neun Millionen Fahrzeuge, die jedes Jahr entsorgt werden?",[VALUE],[REDACTED]
2,money,"Please translate this sentence into German: This programme covers the period 1998 to 2002, and the reference amount for its implementation is EUR 12 million.","Das Programm umfaßt den Zeitraum von 1998 bis 2002, und der Referenzbetrag für seine Durchführung beträgt 12 Mio. Euro.",[VALUE],[REDACTED]
3,money,Please translate this sentence into German: Out of 410 applications in 1999 only 55 projects with a low overall volume of EUR 6.07 million could be considered.,"Von 410 Anträgen in 1999 konnten nur 55 Projekte mit einem mageren Gesamtvolumen von 6,07 Millionen Euro berücksichtigt werden.",[VALUE],[REDACTED]
4,money,"Please translate this sentence into German: The Commission proposed support for 35 projects, of which 12 were for EUR 50 000 and 23 for amounts over EUR 50 000.","Die Kommission hat die Fortführung von 35 Projekten vorgeschlagen, davon 12 mit einem Umfang von 50 000 Euro und 23 mit einem Umfang von mehr als 50 000 Euro.",[VALUE],[REDACTED]
5,money,"Please translate this sentence into German: In 1998 and 1999 Kyrgyzstan, Kazakhstan, Uzbekistan and Turkmenistan received technical assistance of EUR 75 million.","1998 und 1999 erhielten Kirgisistan, Kasachstan, Usbekistan und Turkmenistan technische Hilfe im Umfang von 75 Mio. EUR.",[VALUE],[REDACTED]
6,money,"Please translate this sentence into German: In 1998, the largest case concerned the supply of company capital totalling EUR 540 million to the PREUSSAG in Germany.",Im Jahre 1998 war der größte Fall die Zuführung von Eigenkapital an die PREUSSAG in Deutschland in Höhe von 540 Millionen Euro.,[VALUE],[REDACTED]
7,money,"Please translate this sentence into German: In an industry worth some EUR 600 billion annually, even a slight dip in confidence levels can have significant effects.",In einer Branche mit einem Jahresumsatz von ca. 600 Mrd. EUR kann sich schon der kleinste Rückgang der Kauffreudigkeit massiv auswirken.,[VALUE],[REDACTED]
8,money,Please translate this sentence into German: A second round of conciliation achieved an increase of EUR 1.1 million in order to reach this compromise figure of 77 million.,"Die zweite Vermittlung brachte eine weitere Aufstockung um 1,1 Millionen Euro, was letztendlich zum Kompromiß von 77 Millionen geführt hat.",[VALUE],[REDACTED]
9,money,"Please translate this sentence into German: An initial conciliation meeting was not successful, because the Council would not at that time accept an increase of EUR 1.9 million.","Ein erster Vermittlungsversuch war gescheitert, weil der Rat damals lediglich eine Erhöhung von 1,9 Millionen Euro akzeptiert hatte.",[VALUE],[REDACTED]
10,money,"Please translate this sentence into German: I should point out that 70% of funding for the period 2000-2006, i.e. EUR 195 billion, will go to the less-favoured regions of Europe.","70 % der Mittel für den Zeitraum 2002-2006, das sind 195 Milliarden Euro, werden für die weniger begünstigten Regionen Europas bereitgestellt.",[VALUE],[REDACTED]
