conversation_hash,predicted_category,user_query,target_response,pii_units,redacted_query
0,money,"Please translate this sentence into French: The total appropriation for 2000 is EUR 36 million, which includes EUR 10 million for emergency aid.","Pour l'année 2000, l'enveloppe financière est de 36 millions d'euros, dont 10 pour l'aide d'urgence.",[VALUE],[REDACTED]
1,money,"Please translate this sentence into French: EUR 726 million in supplementary funds followed, funds that were also pumped into the Irish economy.",À ce montant s'ajoutent des moyens complémentaires de plus de 726 millions d'euros.,[VALUE],[REDACTED]
2,money,Please translate this sentence into French: It has even been possible to exceed the USD 1 250 million which was envisaged as aid for Yugoslavia.,"On a même pu dépasser les 1,25 milliards de dollars d'aide prévus pour la Yougoslavie.",[VALUE],[REDACTED]
3,money,Please translate this sentence into French: Oxfam is spending EUR 200 000 on emergency water storage and distribution facilities and sanitation.,"Oxfam consacre 200 000 euros aux activités urgentes de stockage et de distribution d'eau, ainsi qu'à l'assainissement.",[VALUE],[REDACTED]
4,money,Please translate this sentence into French: This premium must also be an incentive for sheep and goat farmers and that means EUR 30 and no less.,Cette prime doit stimuler les éleveurs d'ovins et de caprins et ce n' est pas possible en dessous de 30 euros.,[VALUE],[REDACTED]
5,money,"Please translate this sentence into French: The EIB has EUR 9 billion invested in that area, it has experts and an established way of operating.","La BEI a investi neuf milliards d'euros dans cette région, elle compte des experts, elle possède une tradition.",[VALUE],[REDACTED]
6,money,Please translate this sentence into French: I welcome Mr Prodi's proposal for EUR 3 million of immediate humanitarian aid through the Red Cross.,Je me félicite de ce que M. Prodi ait proposé 3 millions d'euros d'aide humanitaire immédiate par le biais de la Croix-Rouge.,[VALUE],[REDACTED]
7,money,"Please translate this sentence into French: In 1999 the Berlin Council had allocated 43 billion for the same time period, but for six countries.","En 1999, le Conseil de Berlin avait prévu 43 milliards pour la même période, mais pour six États.",[VALUE],[REDACTED]
8,money,Please translate this sentence into French: Agricultural expenditure - I now turn to the individual categories - is estimated at EUR 48 billion.,Les dépenses agricoles - j'en viens maintenant aux diverses rubriques - sont estimées à 48 milliards d'euros.,[VALUE],[REDACTED]
9,money,Please translate this sentence into French: EUR 8 million are being shared out among us and it is clearly being done with the utmost discretion.,"On est en train de nous partager 8 millions d'euros et on le fait, évidemment, en toute discrétion.",[VALUE],[REDACTED]
10,money,"Please translate this sentence into French: The new proposal to increase the budget to 65 million is honourable, but not, in my view, realistic.","La nouvelle proposition visant à accroître le budget à 65 millions est honorable mais, à mes yeux, irréaliste.",[VALUE],[REDACTED]
11,money,Please translate this sentence into French: I am actually proposing that in excess of EUR 4 000 million be set aside for this purpose each year.,"Je propose, en réalité, que plus de 4 milliards d’euros soient mis de côté chaque année à cet effet.",[VALUE],[REDACTED]
12,money,"Please translate this sentence into French: These are questions that, I should mention in passing, could mean a difference of EUR 7 000 million.","Il s’agit de questions qui, cela dit en passant, pourraient représenter une différence de 7 milliards d’euros.",[VALUE],[REDACTED]
13,money,Please translate this sentence into French: A little over EUR 1.4 billion is to be earmarked for direct aid to farmers in the new Member States.,"Un peu plus de 1,4 milliard d’euros doivent être affectés aux aides directes aux agriculteurs des nouveaux États membres.",[VALUE],[REDACTED]
14,money,Please translate this sentence into French: This is a huge amount of flood damage: the European Union has very kindly sent EUR 4 million in aid.,"Pour des dégâts occasionnés par une inondation, c’est un montant énorme. Dans sa bienveillance, l’Union européenne a envoyé quatre millions d’euros d’aide.",[VALUE],[REDACTED]
15,money,"Please translate this sentence into French: Concerning allocations, Alfa 1 has a budget of EUR 32 million and Alfa 2 a budget of EUR 42 million.","S’agissant des contributions financières, ALFA 1 dispose d’un budget de 32 millions d’euros et ALFA 2 de 42 millions d’euros.",[VALUE],[REDACTED]
16,money,Please translate this sentence into French: The Commission’s proposed budget of EUR 88.75 billion for 2007-2013 at 2004 prices was also welcome.,"Je suis également d’accord avec le budget proposé par la Commission, à savoir 88,75 milliards d’euros pour la période 2007-2013 aux prix de 2004.",[VALUE],[REDACTED]
17,money,"Please translate this sentence into French: Thirdly, we have arrived at the point today where we have just EUR 13 million in our emergency fund.","Troisièmement, nous en sommes arrivés aujourd’hui à un point où nous disposons de 13 millions d’euros seulement dans notre Fonds pour les catastrophes.",[VALUE],[REDACTED]
18,money,"Please translate this sentence into French: Therefore, we will provide a further EUR 3 million package of support for the Rafah border crossing.","Pour cette raison, nous apporterons une enveloppe supplémentaire de 3 millions d’euros au point de passage de Rafah.",[VALUE],[REDACTED]
19,money,"Please translate this sentence into French: Accordingly, for consumer protection, we arrive at a sum of EUR 233 million spread over seven years.","Nous arrivons ainsi, pour la protection des consommateurs, à un montant de 233 millions d’euros étalé sur sept ans.",[VALUE],[REDACTED]
20,money,"Please translate this sentence into French: From 2003 to 2004, losses were reduced by approximately 50%, from EUR 170 million to EUR 80 million.","De 2003 à 2004, les pertes dans ce domaine ont diminué d’environ 50 %, passant de 170 millions d’euros à 80 millions d’euros.",[VALUE],[REDACTED]
21,money,"Please translate this sentence into French: It goes back, though, to a time when EUR 58.5 billion more was meant to be allocated to Category 1A.","Elle date néanmoins d’une période où un montant supplémentaire de 58,5 milliards d’euros devait être alloué à la catégorie 1A.",[VALUE],[REDACTED]
22,money,"Please translate this sentence into French: In all, the Union’s financial support for the AMIS operation has added up to around EUR 242 million.","Au total, le soutien financier apporté par l’Union au fonctionnement de la MUAS s’élève à quelque 242 millions d’euros.",[VALUE],[REDACTED]
23,money,"Please translate this sentence into French: Secondly, EUR 5 million in commitments and payments is added to line 16 02 02: 'Multimedia actions'.","Deuxièmement, un montant de 5 millions d'euros en crédits d'engagement et de paiement est ajouté à la ligne 16 02 02 (""Actions multimédias"").",[VALUE],[REDACTED]
24,money,"Please translate this sentence into French: Every year, the European Union's GDP loses approximately EUR 8 billion because of counterfeit goods.","Chaque année, le PIB de l'Union européenne est amputé de quelque 8 milliards d'euros à cause de la contrefaçon.",[VALUE],[REDACTED]
25,money,Please translate this sentence into French: I support the improved access for those groups from 2008 and the lowering of the visa fee to EUR 35.,Je soutiens l'amélioration de l'accès de ces groupes à partir de 2008 et la diminution des frais de visas à 35 euros.,[VALUE],[REDACTED]
26,money,Please translate this sentence into French: A very large amount of money is being spent on it - EUR 12 billion for the period from 2007 to 2013.,Beaucoup d'argent a été dépensé pour ce projet - 12 milliards d'euros pour la période 2007-2013.,[VALUE],[REDACTED]
27,money,"Please translate this sentence into French: Belarusians, for example, now have to pay 12 times as much for a visa - 60 euros instead of 5 euros.","Les Bélarussiens, par exemple, doivent à présent payer 12 fois plus cher pour obtenir un visa - 60 euros au lieu de 5 euros.",[VALUE],[REDACTED]
28,money,"Please translate this sentence into French: So, over the whole period 1994-2013, we will have invested nearly EUR 5 billion in Northern Ireland.","Autrement dit, sur l'ensemble de la période 1994-2013, nous aurons investi près de 5 milliards d'euros en Irlande du Nord.",[VALUE],[REDACTED]
29,money,Please translate this sentence into French: European Union Member States together contributed another EUR 860 million during that crucial period.,"De leur côté, les États membres de l'Union ont apporté une contribution totale de 860 millions d'euros au cours de cette même période cruciale.",[VALUE],[REDACTED]
30,money,"Please translate this sentence into French: The Union budget of EUR 90 billion represents so many hopes, the hopes of people looking for support.","Avec ses 90 milliards d'euros, le budget de l'Union renferme énormément d'espoirs, les espoirs de gens qui attendent un soutien.",[VALUE],[REDACTED]
31,money,"Please translate this sentence into French: As a result of Agenda 2000, European farmers had to accept a EUR 5 billion reduction in their income.",Les résultats de l'Agenda 2000 se sont traduits pour les agriculteurs en Europe par une perte de revenus de 5 milliards d'euros.,[VALUE],[REDACTED]
32,money,"Please translate this sentence into French: EUR 5.877 million are estimated to be required for renting, renovating and furnishing a new building.","On estime que la location, la rénovation et l'ameublement d'un nouveau bâtiment demandent 5,877 millions d'euros.",[VALUE],[REDACTED]
33,money,Please translate this sentence into French: A total of EUR 273 million has been paid out (GDR 93.6 billion) or EUR 18 (GDR 6 170) per enterprise.,"Au total, ce sont 273 millions d' euros (93,6 milliards de drachmes) qui sont alloués, soit 18 euros (6 170 drachmes) par entreprise !",[VALUE],[REDACTED]
34,money,Please translate this sentence into French: ECHO allocated EUR 20 million last year and an allocation of EUR 35 million is planned for this year.,"L'année dernière, ECHO a accordé 20 millions d'euros et prévoit pour cette année l'octroi de 35 millions d'euros.",[VALUE],[REDACTED]
35,money,"Please translate this sentence into French: Apparently the going rate for Germany is GBP 7 000 and Britain, the destiny of choice, is GBP 10 000.","Apparemment, le prix du voyage vers l'Allemagne s'élève à 7 000 livres ; 10 000 livres seraient nécessaires pour rejoindre la Grande-Bretagne, destination de prédilection.",[VALUE],[REDACTED]
36,money,"Please translate this sentence into French: Translations into 19 Community languages, excluding Maltese, would cost around EUR 31 500 per patent.","Si l'on exclut le maltais, la traduction dans les 19 langues communautaires reviendrait à 31 500 euros par brevet.",[VALUE],[REDACTED]
37,money,Please translate this sentence into French: The Irish Government currently allocates almost EUR 2 million to democracy and human rights projects.,Le gouvernement irlandais affecte actuellement presque 2 millions d'euros à des projets relatifs à la démocratie et aux droits de l'homme.,[VALUE],[REDACTED]
38,money,"Please translate this sentence into French: As a result of five increases, export refunds on skimmed milk have risen from EUR 0 to 650 per tonne.","Suite à cinq augmentations, les restitutions à l'exportation pour le lait écrémé sont passées de 0 à 650 euros par tonne.",[VALUE],[REDACTED]
