conversation_hash,predicted_category,user_query,target_response,pii_units,redacted_query
0,name,"Please translate this sentence into German: I would like to repeat my appreciation to all the speakers and especially to the rapporteur, Mr Koch.","Ich möchte nochmals allen Rednern und ganz besonders dem Berichterstatter, Herrn Koch, meinen Dank sagen.",[VALUE],[REDACTED]
1,name,"Please translate this sentence into German: Yes, Mr Evans, I feel an initiative of the type you have just suggested would be entirely appropriate.","Ja, Herr Evans, ich denke, daß eine derartige Initiative durchaus angebracht ist.",[VALUE],[REDACTED]
2,name,"Please translate this sentence into German: Mr President, I am happy to take the floor in the debate on this report and I congratulate Mrs Theato.","Herr Präsident! Ich freue mich, in der Aussprache über diesen Bericht das Wort zu ergreifen und Frau Theato zu beglückwünschen.",[VALUE],[REDACTED]
3,name,"Please translate this sentence into German: I would therefore ask you, Mr Prodi, to make an explicit reference to this problem in your reply today.","Ich bitte Sie deshalb, Herr Prodi, in Ihrer heutigen Antwort ausdrücklich darauf einzugehen.",[VALUE],[REDACTED]
4,name,"Please translate this sentence into German: Meanwhile, Mr van Hulten has been inundated with amendments, more than 100 amendments in the first round.","Inzwischen erreichte Herrn van Hulten eine Flut von Änderungsanträgen, in einer ersten Runde gab es über 100 Änderungsanträge.",[VALUE],[REDACTED]
5,name,"Please translate this sentence into German: Mr President, firstly I would like to extend my heartfelt congratulations to my colleague, Mr van Hulten.","Herr Präsident, zunächst möchte ich meinem Kollegen van Hulten herzlich gratulieren.",[VALUE],[REDACTED]
6,name,"Please translate this sentence into German: Since Mrs McCarthy' s flight has been delayed slightly, I propose that we hear from Mr Decourrière first.","Da Frau McCarthy wegen ihres Flugs etwas später kommt, schlage ich vor, mit Herrn Decourrière zu beginnen.",[VALUE],[REDACTED]
7,name,"Please translate this sentence into German: Mr President, Commissioner, I would like to begin by thanking Mrs Schroedter, the rapporteur, for her work.","Herr Präsident, Herr Kommissar, liebe Kolleginnen und Kollegen! Ich möchte meinen Redebeitrag mit einem Dank an Frau Schroedter, der Berichterstatterin, für die geleistete Arbeit einleiten.",[VALUE],[REDACTED]
8,name,Please translate this sentence into German: Mrs Schroedter' s report marks a further step towards the transparency and effectiveness of structural aid.,Die Arbeit von Frau Schroedter ist ein weiterer Schritt in Richtung auf mehr Transparenz und Effizienz der Strukturhilfen.,[VALUE],[REDACTED]
9,name,"Please translate this sentence into German: One or two years ago, Parliament adopted a report by Mrs Lööw which is extremely important in this context.","Vor einigen Jahren nahm das Parlament einen Bericht Lööw an, der in diesem Zusammenhang sehr wichtig ist.",[VALUE],[REDACTED]
10,name,Please translate this sentence into German: I would merely say that the festive issue which Mr Dimitrakopoulos has raised is an extremely important one.,"Ich möchte nur sagen, daß diese Frage der Weihnachtsbräuche, die der Herr Abgeordnete aufgeworfen hat, eine überaus wichtige Rolle spielt.",[VALUE],[REDACTED]
11,name,Please translate this sentence into German: Not even Mr Sichrovsky' s web of lies or Mrs Stenzel' s words of appeasement can do anything to change that.,Daran können auch das Lügengebäude des Herrn Sichrovsky und auch die beschwichtigenden Worte der Frau Stenzel nichts ändern.,[VALUE],[REDACTED]
